childid,id,age,memsex,relate,livhse,grade,still,chgrade,chstill,whynot,agegrade,agestsch,hhschtyp,perf,schoolen,disab,codsec1,act1,months1,diasmes1,seman1,days1,hours1,codsec2,act2,months2,diasmes2,seman2,days2,hours2,act3,codsec3,months3,diasmes3,seman3,days3,hours3,acting,sleep,chcare,hhchore,npaywork,paywork,school,study,play,occuppat,incamnt,inctime,bonus,bonamnt,bontime,remun,remamnt,remtime,occyrs,occmths
PE011003,3,2,female,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011004,0,5,male,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Private,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,8,1,0,0,0,5,2,8,,,,,,,,,,,
PE011004,1,40,male,Biological parent,"Yes, still lives in household",Complete Technical college,No,,,,,,,,,No disability,521,Waged worker,10,24,4,6,15,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,750,Month,No,-88,N/A,No,-88,N/A,0,10
PE011004,2,40,female,Biological parent,"Yes, still lives in household",Complete University,No,,,,,,,,,No disability,801,Independent merchant,10,30,4,5,5,525,Independent merchant,12,20,4,5,4,Independent merchant,525,12,4,4,1,12,First activity,,,,,,,,,Dependent,1100,Month,Yes,640,Year,No,-88,N/A,15,0
PE011004,3,3,female,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011005,0,5,male,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,0,0,0,0,4,2,3,,,,,,,,,,,
PE011005,1,42,male,Biological parent,"Yes, still lives in household",6,No,,,,,,,,,No disability,602,Self-employed (services),12,20,4,4,6,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,15,Day,N/A,-88,N/A,N/A,-88,N/A,3,0
PE011005,2,24,female,Brother/sister,"Yes, still lives in household",11,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011005,3,42,female,Biological parent,"Yes, still lives in household",8,No,,,,,,,,,No disability,749,Waged worker,6,20,4,5,8,-88,Household chores/Housewife,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,300,Month,No,-88,N/A,No,-88,N/A,0,3
PE011005,4,21,male,Brother/sister,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011005,5,17,female,Brother/sister,"Yes, still lives in household",,,9,No,Child does not want to go,16,3,N/A,N/A,N/A,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,99,99,99,99,99,99,99,99,,,,,,,,,,,
PE011005,6,15,male,Brother/sister,"Yes, still lives in household",,,10,"Yes, attending regularly",N/A,88,3,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,1,1,0,0,5,2,2,,,,,,,,,,,
PE011005,7,14,female,Brother/sister,"Yes, still lives in household",,,8,"Yes, attending regularly",N/A,88,3,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,2,2,0,0,5,3,1,,,,,,,,,,,
PE011005,8,3,male,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011006,0,5,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,4,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,3,0,0,0,5,2,4,,,,,,,,,,,
PE011006,1,29,male,Biological parent,"Yes, still lives in household",4,No,,,,,,,,,No disability,50,"Waged worker (agriculture, cattle farmer, fishing)",12,20,4,5,8,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,70,Week,No,-88,N/A,No,-88,N/A,11,0
PE011006,2,26,female,Biological parent,"Yes, still lives in household",3,No,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011006,3,63,female,Maternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011006,4,23,male,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011006,5,2,female,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011007,0,5,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,2,Private,Excellent,Excellent,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,0,0,0,0,5,1,9,,,,,,,,,,,
PE011007,1,40,male,Biological parent,"Yes, still lives in household",Other,No,,,,,,,,,No disability,803,Waged worker,12,30,4,5,8,803,Waged worker,12,4,4,1,2,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,1900,Month,Yes,660,Year,No,-88,N/A,18,0
PE011007,2,41,female,Biological parent,"Yes, still lives in household",Complete University,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011007,3,10,male,Brother/sister,"Yes, still lives in household",,,4,"Yes, attending regularly",N/A,88,3,Private,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,8,0,0,0,0,5,2,9,,,,,,,,,,,
PE011007,4,84,female,Maternal grandparent,"Yes, still lives in household",Missing,Missing,,,,,,,,,Other,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011007,5,32,female,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011007,15,9,male,Brother/sister,"Yes, still lives in household",,,2,"Yes, attending regularly",N/A,88,3,Private,Excellent,Excellent,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,8,0,0,0,0,5,2,9,,,,,,,,,,,
PE011008,0,5,male,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,1,0,0,0,5,1,3,,,,,,,,,,,
PE011008,1,32,male,Biological parent,"Yes, still lives in household",Complete Technical college,No,,,,,,,,,No disability,851,Waged worker,12,20,4,5,8,526,Self-employed (services),1,8,4,2,3,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,410,Month,No,-88,N/A,Yes,20,Year,7,0
PE011008,2,36,female,Biological parent,"Yes, still lives in household",Complete Technical college,No,,,,,,,,,No disability,802,Waged worker,12,24,4,6,5,-88,Household chores/Housewife,88,88,88,88,88,Independent merchant,525,8,28,4,7,2,First activity,,,,,,,,,Dependent,650,Month,No,-88,N/A,No,-88,N/A,3,6
PE011008,15,7,female,Brother/sister,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Excellent,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,1,1,0,0,6,2,2,,,,,,,,,,,
PE011008,16,1,female,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011009,0,5,male,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Private,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,0,0,0,0,4,1,3,,,,,,,,,,,
PE011009,1,29,male,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,999,Self-employed (services),12,24,4,6,12,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,170,Week,No,-88,N/A,Yes,100,Year,7,0
PE011009,2,26,female,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,525,Independent merchant,12,24,4,6,9,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,25,Day,N/A,-88,N/A,N/A,-88,N/A,2,0
PE011009,3,9,female,Brother/sister,"Yes, still lives in household",,,3,"Yes, attending regularly",N/A,88,3,Private,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,8,0,0,0,0,5,2,3,,,,,,,,,,,
PE011009,4,49,female,Maternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011009,5,21,male,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011010,0,5,male,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,4,Public or the national government,Reasonably well,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,0,0,0,4,1,3,,,,,,,,,,,
PE011010,1,46,male,"Other, unrelated","Yes, still lives in household",9,No,,,,,,,,,No disability,50,Fishing,12,24,4,6,10,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,50,Day,N/A,-88,N/A,N/A,-88,N/A,15,0
PE011010,2,23,female,Biological parent,"Yes, still lives in household",9,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,853,Waged worker,11,20,4,5,8,N/A,-88,88,88,88,88,88,Second activity,,,,,,,,,Dependent,120,Month,No,-88,N/A,No,-88,N/A,1,0
PE011010,3,42,female,Maternal grandparent,"Yes, still lives in household",9,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011010,4,21,male,Uncle/Aunt,"Yes, still lives in household",11,No,,,,,,,,,No disability,552,Self-employed (services),12,28,4,7,5,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,180,Month,Yes,30,Semester,Yes,5,Day,1,0
PE011010,5,19,male,Uncle/Aunt,"Yes, still lives in household",11,No,,,,,,,,,No disability,151,Waged worker,10,12,4,3,10,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,120,Month,No,-88,N/A,No,-88,N/A,1,0
PE011010,6,12,female,Uncle/Aunt,"Yes, still lives in household",,,5,"Yes, attending regularly",N/A,88,4,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,1,0,0,5,2,2,,,,,,,,,,,
PE011010,15,7,female,Uncle/Aunt,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,4,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,0,0,0,5,1,3,,,,,,,,,,,
PE011010,16,2,female,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011011,0,5,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,4,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,0,0,0,0,4,1,4,,,,,,,,,,,
PE011011,1,31,male,Biological parent,"Yes, still lives in household",6,No,,,,,,,,,No disability,50,Fishing,12,26,4,6,9,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,50,Week,N/A,-88,N/A,N/A,-88,N/A,10,0
PE011011,2,31,female,Biological parent,"Yes, still lives in household",9,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,521,Independent merchant,12,26,4,6,10,N/A,-88,88,88,88,88,88,Second activity,,,,,,,,,Independent,50,Week,N/A,-88,N/A,N/A,-88,N/A,1,0
PE011011,15,7,male,Brother/sister,"Yes, still lives in household",,,3,"Yes, attending regularly",N/A,88,4,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,1,1,0,0,5,1,2,,,,,,,,,,,
PE011011,16,3,male,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011012,0,5,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Reasonably well,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,0,0,0,0,5,3,7,,,,,,,,,,,
PE011012,1,34,male,Biological parent,"Yes, still lives in household",Complete Technical college,No,,,,,,,,,No disability,752,Waged worker,12,30,4,4,24,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,800,Month,Yes,900,Year,No,-88,N/A,12,0
PE011012,2,34,female,Biological parent,"Yes, still lives in household",Complete University,No,,,,,,,,,No disability,802,Waged worker,10,16,4,4,5,521,Independent merchant,12,30,4,7,15,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,900,Month,Yes,900,Year,No,-88,N/A,11,0
PE011012,15,8,male,Brother/sister,"Yes, still lives in household",,,2,"Yes, attending regularly",N/A,88,3,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,2,0,0,0,5,3,5,,,,,,,,,,,
PE011012,16,24,female,Household servant,"Yes, still lives in household",Complete Technical college,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011012,17,50,female,Household servant,"Yes, still lives in household",6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011013,0,5,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,1,0,0,0,4,1,8,,,,,,,,,,,
PE011013,1,24,male,Biological parent,"Yes, still lives in household",10,No,,,,,,,,,No disability,602,Self-employed (services),12,28,4,7,12,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,40,Day,N/A,-88,N/A,N/A,-88,N/A,1,2
PE011013,2,25,female,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011013,3,51,male,Paternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011013,4,47,female,Paternal grandparent,Person has died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011013,5,23,male,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011013,6,21,female,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011013,7,3,female,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011013,8,1,female,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011014,0,5,male,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,0,0,0,4,1,3,,,,,,,,,,,
PE011014,1,22,female,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,151,Waged worker,10,16,4,4,8,525,Independent merchant,2,6,3,99,3,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,15,Day,No,-88,N/A,No,-88,N/A,2,3
PE011014,2,64,male,Maternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011014,3,53,female,Maternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011014,4,21,female,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011014,5,18,male,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011014,6,16,male,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011014,15,7,female,Brother/sister,"Yes, still lives in household",,,1,"Yes, attending regularly",N/A,88,2,Public or the national government,Good,Reasonably okay,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,Household chores/Housewife,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,1,1,0,0,5,1,3,,,,,,,,,,,
PE011014,16,2,male,Half-sibling (same mother),"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011015,0,5,male,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Reasonably well,Very bad,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,0,0,0,0,4,1,5,,,,,,,,,,,
PE011015,1,24,male,Biological parent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,2,22,female,Biological parent,"Yes, still lives in household",10,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011015,3,47,male,Paternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,4,43,female,Paternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,5,26,male,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,6,19,male,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,7,18,female,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,8,14,male,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,9,15,female,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,10,10,male,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,11,26,female,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,12,18,female,"Other, unrelated","No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE011015,13,41,female,Maternal grandparent,"Yes, still lives in household",8,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE011015,14,23,female,Uncle/Aunt,"Yes, still lives in household",11,No,,,,,,,,,No disability,-88,Unemployed,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
