childid,id,age,memsex,relate,livhse,grade,still,chgrade,chstill,whynot,agegrade,agestsch,hhschtyp,perf,schoolen,disab,act1,months1,days1,hours1,act2,months2,days2,hours2,act3,months3,days3,hours3,sleep,chcare,hhchore,npaywork,paywork,school,study,play
VN010009,4,3,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010009,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,3,7
VN010009,2,30,male,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),7,20,8,self-employed (food crops),3,9,3,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010009,3,31,female,biological parent,"yes, still lives in household",4,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),6,20,8,self-employed (food crops),4,10,5,household chores,12,30,2,88,88,88,88,88,88,88,88
VN010009,1,65,female,maternal grandparent,"yes, still lives in household",3,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,18,3,household dependent,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010010,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,3,2,8
VN010010,3,13,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,7,"yes, attending regularly",n/a,88,6,government school,reasonably well,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,5,3,6
VN010010,2,35,female,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),12,20,8,household chores,12,30,3,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010010,1,36,male,biological parent,"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),12,25,8,self-employed (livestock),12,30,2,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010011,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,10,0,4
VN010011,4,10,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,4,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,5,0,10
VN010011,3,13,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,7,"yes, attending regularly",n/a,88,6,government school,reasonably well,good,no disability,household chores,12,28,3,n/a,88,88,88,n/a,88,88,88,10,3,2,0,0,4,2,3
VN010011,2,38,female,biological parent,"yes, still lives in household",11,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),12,29,8,household chores,12,28,3,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010011,1,40,male,biological parent,"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),12,29,10,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010012,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,2,8
VN010012,4,9,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,2,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,other unpaid activity,3,15,1,household dependent,88,88,88,n/a,88,88,88,9,1,0,0,0,4,3,7
VN010012,3,11,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,4,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,other unpaid activity,4,20,1,household dependent,88,88,88,n/a,88,88,88,8,1,0,0,0,4,4,7
VN010012,2,33,female,biological parent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),12,29,10,self-employed (livestock),3,5,3,household chores,12,30,2,88,88,88,88,88,88,88,88
VN010012,1,34,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),8,28,8,self-employed (food crops),2,3,6,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010013,0,4,female,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010013,5,9,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,3,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,8,2,5
VN010013,4,34,female,biological parent,"yes, still lives in household","post-secondary, vocational","yes, attending regularly",n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,22,8,household chores,12,30,3,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010013,3,36,male,biological parent,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,22,8,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010013,2,54,female,paternal grandparent,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),12,30,5,household chores,12,30,2,self-employed (food crops),6,20,2,88,88,88,88,88,88,88,88
VN010013,1,56,male,paternal grandparent,"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,22,8,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010014,4,1,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010014,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household chores,4,10,1,household dependent,88,88,88,n/a,88,88,88,11,1,0,0,0,4,2,6
VN010014,3,36,male,biological parent,"yes, still lives in household",11,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,28,8,household chores,11,28,1,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010014,2,40,female,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,7,4,household chores,12,30,5,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010014,1,78,female,maternal grandparent,person has died,nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN010015,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,2,8
VN010015,4,16,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,10,"yes, attending regularly",n/a,88,6,government school,reasonably well,reasonably ok,no disability,household chores,10,15,2,household dependent,88,88,88,n/a,88,88,88,8,2,2,0,0,4,4,4
VN010015,3,21,female,brother/sister (both parents the same),"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (livestock),4,10,2,household chores,6,7,2,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010015,2,40,female,biological parent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (livestock),12,30,3,self-employed (food crops),7,8,4,household chores,12,30,2,88,88,88,88,88,88,88,88
VN010015,1,42,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),8,20,8,self-employed (livestock),12,10,2,self-employed (food crops),4,5,2,88,88,88,88,88,88,88,88
VN010016,3,4,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010016,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,0,0,12
VN010016,2,23,female,biological parent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),12,24,8,self-employed (food crops),4,4,2,household chores,12,30,1,88,88,88,88,88,88,88,88
VN010016,1,28,male,biological parent,person has died,nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN010017,3,1,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010017,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household chores,5,10,2,household dependent,88,88,88,n/a,88,88,88,11,2,0,0,0,4,2,5
VN010017,2,28,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,20,8,household chores,12,30,10,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010017,1,33,male,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,annual farm servant,6,20,8,self-employed (livestock),6,30,8,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010018,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,3,7
VN010018,3,12,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,6,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,8,15,2,household dependent,88,88,88,n/a,88,88,88,8,1,2,0,0,4,6,3
VN010018,2,31,female,biological parent,"yes, still lives in household",8,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (livestock),12,20,4,self-employed (food crops),4,6,3,household chores,12,30,2,88,88,88,88,88,88,88,88
VN010018,1,36,male,biological parent,"yes, still lives in household",11,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),12,24,8,self-employed (livestock),5,4,2,household chores,4,10,2,88,88,88,88,88,88,88,88
VN010019,3,2,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010019,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,2,8
VN010019,2,33,female,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,20,8,self-employed (services),12,30,3,household chores,12,30,2,88,88,88,88,88,88,88,88
VN010019,1,36,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,20,8,self-employed (livestock),12,30,2,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010020,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,4,1,8
VN010020,2,31,female,biological parent,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,6,8,wage employment (agriculture),2,15,8,household chores,12,30,3,88,88,88,88,88,88,88,88
VN010020,5,31,female,uncle/aunt,"yes, still lives in household",11,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,28,8,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010020,1,37,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,6,7,household chores,11,30,3,wage employment (non-agriculture),2,29,8,88,88,88,88,88,88,88,88
VN010020,4,61,female,paternal grandparent,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010020,3,68,male,paternal grandparent,"yes, still lives in household",12,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (livestock),11,30,3,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010021,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,10,1,2
VN010021,3,12,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,6,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,3,10,2,household dependent,88,88,88,n/a,88,88,88,9,1,1,0,0,4,3,6
VN010021,2,33,female,biological parent,"yes, still lives in household",university,"yes, attending regularly",n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,9,22,8,household chores,12,30,2,self-employed (food crops),6,3,1,88,88,88,88,88,88,88,88
VN010021,1,40,male,biological parent,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,22,8,household chores,12,30,2,self-employed (food crops),6,2,1,88,88,88,88,88,88,88,88
VN010022,3,3,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN010022,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,2,8
VN010022,2,28,female,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,23,8,self-employed (food crops),6,5,3,household chores,12,30,2,88,88,88,88,88,88,88,88
VN010022,1,30,male,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,22,8,self-employed (food crops),6,2,4,household chores,12,30,1,88,88,88,88,88,88,88,88
VN010024,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,4,2,7
VN010024,4,13,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,7,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,3,15,2,other unpaid activity,3,15,2,household dependent,88,88,88,9,0,2,2,0,4,2,5
VN010024,3,15,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,9,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,4,20,4,other unpaid activity,3,25,2,household dependent,88,88,88,9,0,4,2,0,4,3,2
VN010024,2,36,female,biological parent,"yes, still lives in household",11,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (services),10,25,10,self-employed (food crops),2,5,4,n/a,88,88,88,88,88,88,88,88,88,88,88
VN010024,1,38,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),7,25,6,self-employed (livestock),12,30,4,household chores,12,30,3,88,88,88,88,88,88,88,88
VN010025,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,4,2,6
