formno,childid,id,age,memsex,relate,livhse,grade,still,chgrade,chstill,whynot,agegrade,agestsch,hhschtyp,perf,schoolen,disab,act1,months1,days1,hours1,act2,months2,days2,hours2,act3,months3,days3,hours3,sleep,chcare,hhchore,npaywork,paywork,school,study,play,inegsday,inegwage,inegchld,inegvill,inegcomp
,IN010003,2,34,male,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),12,6,7,household chores,12,2,1,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010003,1,74,female,paternal grandparent,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010004,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,no,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,5,2,8,-77,-77,nk,nk,nk
,IN010004,4,9,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,4,no,n/a,88,5,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,8,0,0,0,0,6,4,6,-77,-77,nk,nk,nk
,IN010004,3,10,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,5,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,8,0,0,0,0,6,4,6,-77,-77,nk,nk,nk
,IN010004,2,31,female,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,5,other unpaid activity,12,1,1,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010004,1,39,male,biological parent,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,6,8,household chores,12,2,1,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010005,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,6,3,6,-77,-77,nk,nk,nk
,IN010005,4,31,female,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,5,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010005,3,42,male,biological parent,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,6,8,household chores,12,2,1,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010005,2,66,female,paternal grandparent,"yes, still lives in household",2,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010005,1,76,male,paternal grandparent,person has died,nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010006,8,2,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,other,10,6,5,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN010006,0,5,male,yl child,"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,1,0,0,5,1,6,-77,-77,nk,nk,nk
,IN010006,7,15,male,cousin,"no, lives elsewhere",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN010006,6,18,male,cousin,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010006,5,29,female,biological parent,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,4,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010006,4,36,male,biological parent,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,5,8,household chores,10,7,2,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010006,3,43,female,uncle/aunt,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010006,2,45,male,uncle/aunt,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010006,1,79,female,paternal grandparent,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010007,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,no,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,0,0,14,-77,-77,nk,nk,nk
,IN010007,28,7,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,2,"yes, attending regularly",n/a,88,6,private,reasonably well,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,1,0,0,0,0,14,-77,-77,nk,nk,nk
,IN010007,2,26,female,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,4,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010007,1,30,male,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,6,12,household chores,12,7,1,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010008,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,no,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,5,0,7,-77,-77,nk,nk,nk
,IN010008,4,8,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,2,"yes, attending regularly",n/a,88,6,public community (ngo/charity/church),good,excellent,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,0,2,12,-77,-77,nk,nk,nk
,IN010008,2,30,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (services),12,4,5,household chores,12,7,2,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010008,1,34,male,biological parent,person has died,nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010008,3,49,female,maternal grandparent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),12,7,10,household chores,12,7,2,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010009,6,3,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN010009,0,5,female,yl child,"yes, still lives in household",n/a,n/a,2,"yes, attending regularly",n/a,88,5,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,0,0,0,7,3,3,-77,-77,nk,nk,nk
,IN010009,28,7,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,3,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,1,1,0,0,7,3,3,-77,-77,nk,nk,nk
,IN010009,4,24,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,5,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010009,3,27,male,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),7,6,10,other unpaid activity,12,7,2,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010009,2,49,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),8,6,10,household chores,12,7,2,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010009,1,60,male,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010010,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,7,0,8,-77,-77,nk,nk,nk
,IN010010,5,7,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,7,0,8,-77,-77,nk,nk,nk
,IN010010,4,9,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,5,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,7,2,6,-77,-77,nk,nk,nk
,IN010010,3,10,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,6,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,8,0,0,0,0,7,2,7,-77,-77,nk,nk,nk
,IN010010,2,25,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,4,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010010,1,30,male,biological parent,"yes, still lives in household",8,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,6,9,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010011,0,4,female,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,7,0,6,-77,-77,nk,nk,nk
,IN010011,4,7,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,3,"yes, attending regularly",n/a,88,5,government school,good,reasonably ok,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,0,0,0,7,1,5,-77,-77,nk,nk,nk
,IN010011,3,11,female,adoptive brother/sister,"yes, still lives in household",n/a,n/a,5,"yes, attending regularly",n/a,88,6,government school,good,bad,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,2,0,0,7,1,3,-77,-77,nk,nk,nk
,IN010011,2,29,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,5,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010011,1,39,male,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),10,6,12,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010012,3,2,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN010012,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,no,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,1,0,0,0,0,2,12,-77,-77,nk,nk,nk
,IN010012,2,24,female,biological parent,"yes, still lives in household",6,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,3,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010012,1,30,male,biological parent,"yes, still lives in household",11,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (services),12,6,6,self-employed (services),12,7,3,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010013,0,5,female,yl child,"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,4,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,0,10,-77,-77,nk,nk,nk
,IN010013,3,6,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,none,no,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,0,10,-77,-77,nk,nk,nk
,IN010013,2,25,female,biological parent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (services),12,6,12,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010013,1,29,male,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,3,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010014,0,5,female,yl child,"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,7,3,4,-77,-77,nk,nk,nk
,IN010014,4,6,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,2,"yes, attending regularly",n/a,88,6,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,0,0,0,7,3,3,-77,-77,nk,nk,nk
,IN010014,3,26,female,biological parent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,4,self-employed (services),12,3,5,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010014,2,33,male,biological parent,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,7,10,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010014,1,69,female,paternal grandparent,person has died,nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010015,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,no,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,5,2,8,-77,-77,nk,nk,nk
,IN010015,3,11,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,6,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,1,0,0,5,2,7,-77,-77,nk,nk,nk
,IN010015,2,34,female,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,3,self-employed (services),4,3,2,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010015,1,39,male,biological parent,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (services),12,6,12,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010016,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,no,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,1,0,0,8,2,4,-77,-77,nk,nk,nk
,IN010016,4,8,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,2,"yes, attending regularly",n/a,88,4,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,2,1,0,0,8,2,2,-77,-77,nk,nk,nk
,IN010016,3,26,female,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,3,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010016,2,30,male,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),12,6,12,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010016,1,64,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010017,0,5,female,yl child,"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,5,private,excellent,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,7,2,5,-77,-77,nk,nk,nk
,IN010017,3,10,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,3,"yes, attending regularly",n/a,88,5,private,excellent,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,7,2,5,-77,-77,nk,nk,nk
,IN010017,2,30,female,biological parent,"yes, still lives in household",6,"yes, attending regularly",n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),11,7,5,household chores,12,7,5,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010017,1,39,male,biological parent,"yes, still lives in household",6,"yes, attending regularly",n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,8,6,13,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010018,3,4,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN010018,0,5,female,yl child,"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,6,2,6,-77,-77,nk,nk,nk
,IN010018,2,25,female,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,4,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010018,1,30,male,biological parent,"yes, still lives in household",2,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,11,6,14,self-employed (business),12,1,4,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010019,0,5,male,yl child,"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,5,private,excellent,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,8,3,3,-77,-77,nk,nk,nk
,IN010019,4,9,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,3,"yes, attending regularly",n/a,88,5,private,excellent,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,8,3,3,-77,-77,nk,nk,nk
,IN010019,3,32,female,biological parent,"yes, still lives in household",university,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,2,self-employed (business),5,7,2,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010019,2,39,male,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,annual farm servant,10,6,8,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010019,1,59,female,paternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,2,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010020,0,5,male,yl child,"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,5,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,8,2,4,-77,-77,nk,nk,nk
,IN010020,6,7,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,4,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,8,2,4,-77,-77,nk,nk,nk
,IN010020,5,13,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,7,"yes, attending regularly",n/a,88,4,private,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,2,0,0,8,3,2,-77,-77,nk,nk,nk
,IN010020,4,25,female,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,3,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010020,3,34,male,biological parent,"yes, still lives in household",10,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),10,7,10,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010020,2,62,female,maternal grandparent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,7,3,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010020,1,76,male,maternal grandparent,"yes, still lives in household",1,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010021,4,0,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN010021,3,4,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
,IN010021,0,5,female,yl child,"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,5,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,7,1,4,-77,-77,nk,nk,nk
,IN010021,2,24,female,biological parent,"yes, still lives in household",4,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,5,4,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010021,1,28,male,biological parent,"yes, still lives in household",2,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (services),6,4,5,wage employment (non-agriculture),6,4,7,n/a,88,88,88,88,88,88,88,88,88,88,88,-77,-77,nk,nk,nk
,IN010023,4,1,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77,-77,-77,nk,nk,nk
