hh_id,indiv_id,age_5y,sex_5y,relate_5y,age_8y,sex_8y,relate_8y,age_12y,sex_12y,relate_12y
PE011005,5,17,Female,Brother/sister,20,Female,Uncle/Aunt,23,Female,Uncle/Aunt
PE011005,6,15,Male,Brother/sister,18,Male,Uncle/Aunt,22,Male,Uncle/Aunt
PE011005,7,14,Female,Brother/sister,,,,20,Female,Uncle/Aunt
PE011005,8,3,Male,Brother/sister,6,Male,Uncle/Aunt,10,Male,Brother/sister
PE011005,9,,,,,,,5,Female,Cousin
PE011006,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE011006,1,29,Male,Biological parent,32,Male,Biological parent,36,Male,Biological parent
PE011006,2,26,Female,Biological parent,29,Female,Biological parent,33,Female,Biological parent
PE011006,3,63,Female,Maternal grandparent,,,,,Female,
PE011006,4,23,Male,Uncle/Aunt,,,,,Male,
PE011006,5,2,Female,Brother/sister,4,Female,Brother/sister,8,Female,Brother/sister
PE011006,6,,,,,,,0,Female,Brother/sister
PE011007,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011007,1,40,Male,Biological parent,43,Male,Biological parent,47,Male,Biological parent
PE011007,2,41,Female,Biological parent,43,Female,Biological parent,47,Female,Biological parent
PE011007,3,10,Male,Brother/sister,13,Male,Brother/sister,17,Male,Brother/sister
PE011007,4,84,Female,Maternal grandparent,,,,,,
PE011007,5,32,Female,Uncle/Aunt,,,,,,
PE011007,15,9,Male,Brother/sister,11,Male,Brother/sister,15,Male,Brother/sister
PE011008,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011008,1,32,Male,Biological parent,35,Male,Biological parent,39,Male,Biological parent
PE011008,2,36,Female,Biological parent,38,Female,Biological parent,42,Female,Biological parent
PE011008,15,7,Female,Brother/sister,10,Female,Brother/sister,14,Female,Brother/sister
PE011008,16,1,Female,Brother/sister,3,Female,Brother/sister,7,Female,Brother/sister
PE011009,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011009,1,29,Male,Biological parent,31,Male,Biological parent,35,Male,Biological parent
PE011009,2,26,Female,Biological parent,29,Female,Biological parent,33,Female,Biological parent
PE011009,3,9,Female,Brother/sister,12,Female,Brother/sister,16,Female,Brother/sister
PE011009,4,49,Female,Maternal grandparent,,,,,Female,Maternal grandparent
PE011009,5,21,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE011009,6,,,,2,Male,Brother/sister,6,Male,Brother/sister
PE011010,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011010,1,46,Male,"Other, unrelated",,,,,Male,"Other, unrelated"
PE011010,2,23,Female,Biological parent,,,,,Female,Biological parent
PE011010,3,42,Female,Maternal grandparent,,,,,Female,Maternal grandparent
PE011010,4,21,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE011010,5,19,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE011010,6,12,Female,Uncle/Aunt,,,,,Female,Uncle/Aunt
PE011010,15,7,Female,Uncle/Aunt,,,,,Female,Uncle/Aunt
PE011010,16,2,Female,Brother/sister,4,Female,Brother/sister,8,Female,Brother/sister
PE011010,17,,,,29,Male,Biological parent,33,Male,Biological parent
PE011010,18,,,,59,Female,Paternal grandparent,63,Female,Paternal grandparent
PE011010,19,,,,92,Female,Great grandparent (Father's side),97,Female,Great grandparent (Father's side)
PE011010,20,,,,60,Female,Other relative,64,Female,Other relative
PE011010,21,,,,24,Female,Uncle/Aunt,27,Female,Uncle/Aunt
PE011011,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE011011,1,31,Male,Biological parent,33,Male,Biological parent,38,Male,Biological parent
PE011011,2,31,Female,Biological parent,33,Female,Biological parent,38,Female,Biological parent
PE011011,15,7,Male,Brother/sister,10,Male,Brother/sister,14,Male,Brother/sister
PE011011,16,3,Male,Brother/sister,5,Male,Brother/sister,9,Male,Brother/sister
PE011011,17,,,,,,,2,Female,Brother/sister
PE011012,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011012,1,34,Male,Biological parent,37,Male,Biological parent,41,Male,Biological parent
PE011012,2,34,Female,Biological parent,37,Female,Biological parent,41,Female,Biological parent
PE011012,15,8,Male,Brother/sister,10,Male,Brother/sister,14,Male,Brother/sister
PE011012,16,24,Female,Household servant,,,,,Female,
PE011012,17,50,Female,Household servant,,,,,Female,
PE011012,18,,,,1,Male,Brother/sister,5,Male,Brother/sister
PE011013,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011013,1,24,Male,Biological parent,27,Male,Biological parent,31,Male,Biological parent
PE011013,2,25,Female,Biological parent,28,Female,Biological parent,32,Female,Biological parent
PE011013,3,51,Male,Paternal grandparent,,,,,Male,Paternal grandparent
PE011013,4,47,Female,Paternal grandparent,,,,,Female,Paternal grandparent
PE011013,5,23,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE011013,6,21,Female,Uncle/Aunt,,,,,Female,Uncle/Aunt
PE011013,7,3,Female,Brother/sister,5,Female,Brother/sister,9,Female,Brother/sister
PE011013,8,1,Female,Brother/sister,3,Female,Brother/sister,7,Female,Brother/sister
PE011013,9,,,,0,Male,Brother/sister,4,Male,Brother/sister
PE011013,10,,,,,,,2,Male,Brother/sister
PE011014,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011014,1,22,Female,Biological parent,25,Female,Biological parent,29,Female,Biological parent
PE011014,2,64,Male,Maternal grandparent,,,,70,Male,Biological parent
PE011014,3,53,Female,Maternal grandparent,,,,60,Female,Maternal grandparent
PE011014,4,21,Female,Uncle/Aunt,,,,27,Female,Uncle/Aunt
PE011014,5,18,Male,Uncle/Aunt,,,,25,Male,Uncle/Aunt
PE011014,6,16,Male,Uncle/Aunt,,,,22,Male,Uncle/Aunt
PE011014,15,7,Female,Brother/sister,10,Female,Brother/sister,14,Female,Brother/sister
PE011014,16,2,Male,Half-sibling (same mother),4,Male,Half-sibling (same mother),8,Male,Half-sibling (same mother)
PE011014,17,,,,32,Male,Step-parent,35,Male,Step-parent
PE011014,18,,,,0,Male,Half-sibling (same mother),4,Male,Half-sibling (same mother)
PE011015,0,5,Male,YL Child,7,Male,YL Child,12,Male,YL Child
PE011015,1,24,Male,Biological parent,,,,,Male,Biological parent
PE011015,2,22,Female,Biological parent,24,Female,Biological parent,28,Female,Biological parent
PE011015,3,47,Male,Paternal grandparent,,,,65,Male,Paternal grandparent
PE011015,4,43,Female,Paternal grandparent,,,,52,Female,Paternal grandparent
PE011015,5,26,Male,Uncle/Aunt,,,,38,Male,Uncle/Aunt
PE011015,6,19,Male,Uncle/Aunt,,,,28,Male,Foster brother/sister
PE011015,7,18,Female,Uncle/Aunt,,,,20,Female,Uncle/Aunt
PE011015,8,14,Male,Uncle/Aunt,,,,15,Male,Uncle/Aunt
PE011015,9,15,Female,Uncle/Aunt,,,,15,Female,Uncle/Aunt
PE011015,10,10,Male,Uncle/Aunt,,,,15,Male,Uncle/Aunt
PE011015,11,26,Female,Uncle/Aunt,,,,32,Female,Uncle/Aunt
PE011015,12,18,Female,"Other, unrelated",,,,28,Female,Uncle/Aunt
PE011015,13,41,Female,Maternal grandparent,,,,43,Female,Uncle/Aunt
PE011015,14,23,Female,Uncle/Aunt,,,,30,Female,Uncle/Aunt
PE011015,15,20,Female,Uncle/Aunt,,,,26,Female,Uncle/Aunt
PE011015,16,19,Male,Uncle/Aunt,,,,23,Male,Uncle/Aunt
PE011015,17,9,Female,Uncle/Aunt,,,,26,Female,Uncle/Aunt
PE011015,18,5,Male,Uncle/Aunt,,,,11,Male,Uncle/Aunt
PE011015,19,3,Male,Cousin,,,,10,Male,Cousin
PE011015,20,2,Male,Half-sibling (same mother),5,Male,Half-sibling (same mother),9,Male,Half-sibling (same mother)
PE011015,21,,,,26,Male,Step-parent,30,Male,Step-parent
PE011016,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011016,1,33,Male,Biological parent,35,Male,Biological parent,39,Male,Biological parent
PE011016,2,28,Female,Biological parent,31,Female,Biological parent,35,Female,Biological parent
PE011016,3,28,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE011016,4,25,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE011016,5,21,Female,Uncle/Aunt,,,,,Female,Uncle/Aunt
PE011016,6,13,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE011016,7,22,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE011016,8,26,Male,Tenant/lodger,,,,,Male,Tenant/lodger
PE011016,9,54,Male,Tenant/lodger,,,,,Male,Tenant/lodger
PE011016,10,46,Female,Other relative,,,,,Female,Other relative
PE011016,11,2,Male,Brother/sister,4,Male,Brother/sister,8,Male,Brother/sister
PE011016,12,,,,,,,3,Male,Brother/sister
PE011017,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011017,1,29,Male,Biological parent,32,Male,Biological parent,36,Male,Biological parent
PE011017,2,28,Female,Biological parent,30,Female,Biological parent,34,Female,Biological parent
PE011017,15,9,Male,Brother/sister,11,Male,Brother/sister,15,Male,Brother/sister
PE011017,16,3,Male,Brother/sister,,,,,Male,Brother/sister
PE011017,17,,,,,,,2,Male,Brother/sister
PE011018,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011018,1,42,Male,Biological parent,47,Male,Biological parent,50,Male,Biological parent
PE011018,2,38,Female,Biological parent,40,Female,Biological parent,43,Female,Biological parent
PE011018,3,15,Female,Brother/sister,18,Female,Brother/sister,22,Female,Brother/sister
PE011018,4,11,Female,Brother/sister,14,Female,Brother/sister,18,Female,Brother/sister
PE011018,5,9,Male,Brother/sister,13,Male,Brother/sister,17,Male,Brother/sister
PE011018,6,18,Male,Brother/sister-in-law,24,Male,Brother/sister-in-law,28,Male,Brother/sister-in-law
PE011018,7,0,Male,Nephew/Niece,3,Male,Nephew/Niece,6,Male,Nephew/Niece
PE011018,8,,,,,,,3,Male,Nephew/Niece
PE011019,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011019,1,31,Male,Biological parent,33,Male,Biological parent,36,Male,Biological parent
PE011019,2,22,Female,Biological parent,25,Female,Biological parent,29,Female,Biological parent
PE011019,3,3,Male,Brother/sister,6,Male,Brother/sister,10,Male,Brother/sister
PE011019,4,17,Male,Uncle/Aunt,,,,22,Male,Uncle/Aunt
PE011019,5,,,,0,Female,Brother/sister,4,Female,Brother/sister
PE011019,6,,,,,,,2,Female,Brother/sister
PE011020,0,6,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011020,1,37,Male,Biological parent,40,Male,Biological parent,44,Male,Biological parent
PE011020,2,29,Female,Biological parent,32,Female,Biological parent,36,Female,Biological parent
PE011021,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011021,1,43,Male,Biological parent,46,Male,Biological parent,50,Male,Biological parent
PE011021,2,37,Female,Biological parent,39,Female,Biological parent,43,Female,Biological parent
PE011021,3,16,Female,Brother/sister,18,Female,Brother/sister,22,Female,Brother/sister
PE011021,4,11,Female,Brother/sister,14,Female,Brother/sister,18,Female,Brother/sister
PE011021,5,,,,16,Female,Brother/sister,20,Female,Brother/sister
PE011022,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011022,1,39,Male,Biological parent,43,Male,Biological parent,47,Male,Biological parent
PE011022,2,34,Female,Biological parent,37,Female,Biological parent,42,Female,Biological parent
PE011022,3,16,Male,Brother/sister,19,Male,Brother/sister,23,Male,Half-sibling (same mother)
PE011022,4,4,Male,Brother/sister,6,Male,Brother/sister,10,Male,Brother/sister
PE011022,5,,,,1,Male,Brother/sister,5,Male,Brother/sister
PE011023,0,6,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011023,1,26,Male,Biological parent,29,Male,Biological parent,33,Male,Biological parent
PE011023,2,23,Female,Biological parent,25,Female,Biological parent,29,Female,Biological parent
PE011023,3,1,Female,Brother/sister,2,Female,Brother/sister,7,Female,Brother/sister
PE011024,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011024,1,23,Male,Biological parent,26,Male,Biological parent,30,Male,Biological parent
PE011024,2,24,Female,Biological parent,26,Female,Biological parent,30,Female,Biological parent
PE011024,3,43,Female,Paternal grandparent,,,,50,Female,Paternal grandparent
PE011024,4,20,Male,Uncle/Aunt,,,,27,Male,Uncle/Aunt
PE011024,15,5,Female,Uncle/Aunt,,,,12,Female,Uncle/Aunt
PE011024,16,61,Male,Maternal grandparent,,,,68,Male,Maternal grandparent
PE011024,17,45,Female,Maternal grandparent,,,,52,Female,Maternal grandparent
PE011024,18,25,Male,Uncle/Aunt,,,,32,Male,Uncle/Aunt
PE011024,19,22,Male,Uncle/Aunt,,,,26,Male,Uncle/Aunt
PE011024,20,7,Female,Uncle/Aunt,,,,14,Female,Uncle/Aunt
PE011024,21,,,,1,Male,Brother/sister,5,Male,Brother/sister
PE011024,22,,,,,,,1,Female,Brother/sister
PE011025,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011025,1,32,Male,Biological parent,34,Male,Biological parent,38,Male,Biological parent
PE011025,2,29,Female,Biological parent,31,Female,Biological parent,35,Female,Biological parent
PE011025,3,49,Male,Maternal grandparent,,,,57,Male,Maternal grandparent
PE011025,4,45,Female,Maternal grandparent,,,,52,Female,Maternal grandparent
PE011025,5,27,Female,Uncle/Aunt,,,,34,Female,Uncle/Aunt
PE011025,6,23,Male,Uncle/Aunt,,,,30,,Uncle/Aunt
PE011025,15,7,Male,Half-sibling (same mother),9,Male,Half-sibling (same mother),13,Male,Half-sibling (same mother)
PE011025,16,,,,,,,0,Female,Brother/sister
PE011026,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011026,1,31,Male,Biological parent,34,Male,Biological parent,38,Male,Biological parent
PE011026,2,31,Female,Biological parent,33,Female,Biological parent,37,Female,Biological parent
PE011026,3,10,Male,Brother/sister,12,Male,Brother/sister,16,Male,Brother/sister
PE011026,15,6,Male,Brother/sister,8,Male,Brother/sister,12,Male,Brother/sister
PE011026,16,1,Female,Brother/sister,3,Female,Brother/sister,7,Female,Brother/sister
PE011026,17,,,,,,,82,Female,Great-grandparent (Mother's side)
PE011026,18,,,,,,,62,Male,Paternal grandparent
PE011027,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE011027,1,43,Male,Biological parent,45,Male,Biological parent,50,Male,Biological parent
PE011027,2,33,Female,Biological parent,36,Female,Biological parent,40,Female,Biological parent
PE011027,3,15,Male,Brother/sister,17,Male,Brother/sister,21,Male,Brother/sister
PE011027,4,13,Female,Brother/sister,15,Female,Brother/sister,19,Female,Brother/sister
PE011027,5,23,Male,Half-sibling (same father),25,Male,Half-sibling (same father),29,Male,Half-sibling (same father)
PE011027,6,33,Male,Uncle/Aunt,35,Male,Uncle/Aunt,39,Male,Uncle/Aunt
PE011027,7,,,,,,,16,Female,Brother/sister-in-law
PE011028,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011028,1,27,Female,Biological parent,29,Female,Biological parent,33,Female,Biological parent
PE011028,2,10,Female,Brother/sister,12,Female,Brother/sister,16,Female,Brother/sister
PE011028,3,40,Male,Biological parent,43,Male,Biological parent,47,Male,Biological parent
PE011028,4,3,Male,Brother/sister,6,Male,Brother/sister,9,Male,Brother/sister
PE011028,6,,,,,,,,,
PE011029,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011029,1,47,Male,Biological parent,49,Male,Biological parent,53,Male,Biological parent
PE011029,2,39,Female,Biological parent,41,Female,Biological parent,45,Female,Biological parent
PE011029,3,13,Male,Brother/sister,15,Male,Brother/sister,19,Male,Brother/sister
PE011030,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011030,1,24,Male,Biological parent,,,,,Male,Biological parent
PE011030,2,22,Female,Biological parent,25,Female,Biological parent,29,Female,Biological parent
PE011030,3,44,Male,Paternal grandparent,,,,,Male,Paternal grandparent
PE011030,4,41,Female,Paternal grandparent,,,,,Female,Paternal grandparent
PE011030,5,21,Female,Uncle/Aunt,,,,,Female,Uncle/Aunt
PE011030,15,6,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE011030,16,,,,45,Male,Maternal grandparent,53,Male,Maternal grandparent
PE011030,17,,,,45,Female,Maternal grandparent,50,Female,Maternal grandparent
PE011030,18,,,,18,Female,Uncle/Aunt,21,Female,Uncle/Aunt
PE011030,19,,,,9,Female,Uncle/Aunt,12,Female,Uncle/Aunt
PE011030,20,,,,,,,0,Female,Half-sibling (same mother)
PE011030,21,,,,,,,28,Male,Step-parent
PE011031,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011031,1,29,Male,Biological parent,32,Male,Biological parent,36,Male,Biological parent
PE011031,2,22,Female,Biological parent,24,Female,Biological parent,28,Female,Biological parent
PE011032,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011032,1,23,Female,Biological parent,,,,,Female,
PE011032,2,71,Male,Maternal grandparent,,,,88,Male,
PE011032,3,61,Female,Maternal grandparent,,,,,Female,
PE011032,4,32,Male,Biological parent,34,Male,Biological parent,38,Male,Biological parent
PE011032,5,75,Male,Paternal grandparent,77,Male,Paternal grandparent,80,Male,Paternal grandparent
PE011032,6,60,Female,Paternal grandparent,61,Female,Paternal grandparent,65,Female,Paternal grandparent
PE011032,7,3,Male,Brother/sister,6,Male,Brother/sister,10,Male,Brother/sister
PE011032,8,1,Female,Brother/sister,4,Female,Brother/sister,8,Female,Brother/sister
PE011032,9,,,,,,,28,Female,Step-parent
PE011032,10,,,,,,,2,Female,Half-sibling (same father)
PE011033,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011033,1,30,Female,Biological parent,,,,37,Female,Biological parent
PE011033,2,64,Male,Maternal grandparent,68,Male,Maternal grandparent,71,Male,Maternal grandparent
PE011033,3,57,Female,Maternal grandparent,59,Female,Maternal grandparent,63,Female,Maternal grandparent
PE011033,4,35,Female,Uncle/Aunt,38,Female,Uncle/Aunt,42,Female,Uncle/Aunt
PE011033,5,26,Female,Uncle/Aunt,,,,32,Female,Uncle/Aunt
PE011033,6,27,Male,Uncle/Aunt,,,,33,Male,Uncle/Aunt
PE011033,15,5,Male,Cousin,,,,11,Male,Cousin
PE011033,16,24,Male,Uncle/Aunt,27,Male,Uncle/Aunt,30,Male,Uncle/Aunt
PE011033,17,,,,40,Male,Uncle/Aunt,44,Male,Uncle/Aunt
PE011033,18,,,,4,Female,Cousin,7,Female,Cousin
PE011033,19,,,,2,Male,Cousin,6,Male,Cousin
PE011033,20,,,,0,Female,Cousin,4,Female,Cousin
PE011033,21,,,,37,Male,Uncle/Aunt,41,Male,Uncle/Aunt
PE011033,22,,,,45,Female,Uncle/Aunt,49,Female,Uncle/Aunt
PE011034,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011034,1,22,Female,Biological parent,25,Female,Biological parent,29,Female,Biological parent
PE011034,2,45,Female,Maternal grandparent,48,Female,Maternal grandparent,52,Female,Maternal grandparent
PE011034,3,24,Female,Uncle/Aunt,27,Female,Uncle/Aunt,31,Female,Uncle/Aunt
PE011034,4,19,Male,Uncle/Aunt,21,Male,Uncle/Aunt,24,Male,Uncle/Aunt
PE011034,5,27,Female,Uncle/Aunt,29,Female,Uncle/Aunt,33,Female,Uncle/Aunt
PE011034,6,7,Female,Cousin,9,Female,Cousin,13,Female,Cousin
PE011034,7,22,Male,Uncle/Aunt,25,Male,Uncle/Aunt,30,Male,Uncle/Aunt
PE011034,8,3,Female,Cousin,5,Female,Cousin,10,Female,Cousin
PE011034,9,,,,,,,1,Male,Half-sibling (same mother)
PE011035,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE011035,1,44,Male,Biological parent,46,Male,Biological parent,52,Male,Biological parent
PE011035,2,36,Female,Biological parent,39,Female,Biological parent,43,Female,Biological parent
PE011035,3,16,Female,Brother/sister,,,,23,Female,Half-sibling (same father)
PE011035,4,14,Male,Brother/sister,17,Male,Brother/sister,20,Male,Brother/sister
PE011035,5,10,Female,Brother/sister,12,Female,Brother/sister,16,Female,Half-sibling (same mother)
PE011035,15,7,Female,Brother/sister,9,Female,Brother/sister,13,Female,Brother/sister
PE011035,16,,,,16,Female,Half-sibling (same mother),20,Female,Half-sibling (same mother)
PE011035,17,,,,19,Male,Half-sibling (same mother),23,Male,Half-sibling (same mother)
PE011036,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011036,1,43,Male,Biological parent,45,Male,Biological parent,51,Male,Biological parent
PE011036,2,33,Female,Biological parent,36,Female,Biological parent,41,Female,Biological parent
PE011036,3,17,Female,Half-sibling (same mother),20,Female,Half-sibling (same mother),23,Female,Half-sibling (same mother)
PE011036,4,14,Female,Half-sibling (same mother),17,Female,Half-sibling (same mother),20,Female,Half-sibling (same mother)
PE011036,5,12,Male,Half-sibling (same mother),14,Male,Half-sibling (same mother),18,Male,Half-sibling (same mother)
PE011036,6,10,Female,Half-sibling (same mother),,,,15,Female,Half-sibling (same mother)
PE011036,7,,,,0,Female,Brother/sister,4,Female,Brother/sister
PE011036,8,,,,0,Female,Cousin,4,Female,Nephew/Niece
PE011037,0,5,Male,YL Child,7,Male,YL Child,12,Male,YL Child
PE011037,1,26,Male,Biological parent,,,,,Male,
PE011037,2,22,Female,Biological parent,,,,,Female,
PE011037,3,63,Female,Maternal grandparent,65,Female,Maternal grandparent,69,Female,Maternal grandparent
PE011037,4,34,Male,Uncle/Aunt,,,,,Male,
PE011037,5,33,Female,Uncle/Aunt,,,,,Female,
PE011037,6,10,Male,Cousin,,,,,Male,
PE011037,7,28,Male,Uncle/Aunt,30,Male,Uncle/Aunt,34,Male,Uncle/Aunt
PE011037,8,25,Male,Uncle/Aunt,27,Male,Uncle/Aunt,31,Male,Uncle/Aunt
PE011037,9,17,Female,Cousin,,,,,Female,
PE011037,10,,,,66,Male,Maternal grandparent,70,Male,Maternal grandparent
PE011038,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011038,1,29,Male,Biological parent,,,,,,
PE011038,2,38,Female,Biological parent,40,Female,Biological parent,45,Female,Biological parent
PE011038,3,19,Female,Brother/sister,,,,,Female,
PE011038,4,18,Male,Brother/sister,22,Male,Brother/sister,23,Male,Half-sibling (same mother)
PE011038,5,33,Male,Brother/sister-in-law,,,,,,
PE011038,6,3,Male,Brother/sister,6,Male,Brother/sister,10,Male,Brother/sister
PE011038,7,,,,,,,51,Male,Step-parent
PE011039,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011039,1,42,Male,Biological parent,45,Male,Biological parent,49,Male,Biological parent
PE011039,2,40,Female,Biological parent,42,Female,Biological parent,46,Female,Biological parent
PE011039,3,21,Male,Brother/sister,,,,30,Male,Brother/sister
PE011039,4,18,Male,Brother/sister,,,,34,Male,Brother/sister
PE011039,5,12,Male,Brother/sister,15,Male,Brother/sister,19,Male,Brother/sister
PE011039,6,11,Female,Brother/sister,14,Female,Brother/sister,18,Female,Brother/sister
PE011039,7,33,Male,Uncle/Aunt,,,,35,Male,Uncle/Aunt
PE011039,8,29,Female,Uncle/Aunt,,,,35,Female,Uncle/Aunt
PE011039,15,5,Male,Cousin,,,,12,Male,Cousin
PE011040,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE011040,1,43,Male,Biological parent,45,Male,Biological parent,49,Male,Biological parent
PE011040,2,35,Female,Biological parent,37,Female,Biological parent,41,Female,Biological parent
PE011040,3,14,Female,Brother/sister,17,Female,Brother/sister,21,Female,Brother/sister
PE011040,4,13,Male,Brother/sister,15,Male,Brother/sister,19,Male,Brother/sister
PE011040,5,10,Male,Brother/sister,12,Male,Brother/sister,16,Male,Brother/sister
PE011040,6,82,Male,Maternal grandparent,48,Male,Maternal grandparent,89,Male,Maternal grandparent
PE011040,7,73,Female,Maternal grandparent,75,Female,Maternal grandparent,80,Female,Maternal grandparent
PE011040,8,,,,,,,22,Male,Brother/sister-in-law
PE011040,9,,,,,,,3,Female,Nephew/Niece
PE011041,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011041,1,26,Male,Biological parent,,,,,Male,
PE011041,2,22,Female,Biological parent,25,Female,Biological parent,29,Female,Biological parent
PE011041,3,2,Female,Brother/sister,5,Female,Brother/sister,9,Female,Brother/sister
PE011042,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE011042,1,27,Male,Biological parent,,,,34,Male,Biological parent
PE011042,2,28,Female,Biological parent,31,Female,Biological parent,35,Female,Biological parent
PE011042,3,1,Female,Brother/sister,3,Female,Brother/sister,7,Female,Brother/sister
PE011042,4,,,,0,Female,Brother/sister,4,Female,Brother/sister
PE011042,5,,,,,,,63,Female,Paternal grandparent
PE011043,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE011043,1,36,Male,Biological parent,39,Male,Biological parent,41,Male,Biological parent
PE011043,2,31,Female,Biological parent,35,Female,Biological parent,38,Female,Biological parent
PE011043,15,7,Female,Brother/sister,10,Female,Brother/sister,14,Female,Brother/sister
PE011043,16,1,Male,Brother/sister,3,Male,Brother/sister,7,Male,Brother/sister
PE011044,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE011044,1,40,Male,Biological parent,42,Male,Biological parent,48,Male,Biological parent
PE011044,2,33,Female,Biological parent,36,Female,Biological parent,38,Female,Biological parent
PE011044,3,13,Male,Brother/sister,15,Male,Brother/sister,20,Male,Brother/sister
PE011044,4,10,Male,Brother/sister,12,Male,Brother/sister,14,Male,Brother/sister
