hhid,roster_id,age,sex,mother_id,education_complete,current_grade
36,4,6,Mujer,2,beyond secondary,1
36,9,18,Hombre,,beyond secondary,7
36,10,38,Mujer,,beyond secondary,
37,1,38,Mujer,,beyond secondary,
37,2,7,Hombre,1,beyond secondary,2
37,3,15,Mujer,,beyond secondary,
37,4,58,Mujer,,beyond secondary,
38,1,33,Hombre,,beyond secondary,
38,2,30,Mujer,,beyond secondary,
38,3,10,Hombre,2,beyond secondary,3
39,1,52,Hombre,,beyond secondary,
39,2,50,Mujer,6,beyond secondary,13
39,5,15,Mujer,2,beyond secondary,10
39,6,76,Mujer,,beyond secondary,
40,1,61,Mujer,,beyond secondary,
41,3,14,Hombre,9,beyond secondary,9
40,4,10,Hombre,,beyond secondary,5
40,7,7,Hombre,,beyond secondary,2
41,9,33,Mujer,,beyond secondary,
41,10,36,Hombre,,beyond secondary,1
42,1,33,Hombre,,beyond secondary,
42,2,32,Mujer,,beyond secondary,
42,3,11,Mujer,2,beyond secondary,6
42,4,4,Mujer,2,beyond secondary,
42,5,2,Hombre,2,beyond secondary,
43,1,41,Hombre,2,beyond secondary,
43,2,83,Mujer,,beyond secondary,
43,3,19,Mujer,,beyond secondary,
43,4,1,Mujer,3,beyond secondary,
43,5,38,Mujer,,beyond secondary,
44,1,38,Mujer,,beyond secondary,
44,3,15,Mujer,1,beyond secondary,7
44,4,13,Hombre,1,beyond secondary,5
45,1,48,Hombre,,beyond secondary,
45,2,36,Mujer,,beyond secondary,
45,3,15,Hombre,2,beyond secondary,7
45,4,9,Hombre,2,beyond secondary,3
45,5,8,Mujer,2,beyond secondary,3
46,1,60,Mujer,,beyond secondary,
46,2,31,Hombre,1,beyond secondary,
47,1,61,Mujer,,beyond secondary,
47,2,35,Mujer,1,beyond secondary,
47,3,4,Hombre,2,beyond secondary,
48,1,42,Hombre,,beyond secondary,
48,6,42,Mujer,,beyond secondary,
48,7,20,Hombre,6,beyond secondary,14
48,8,5,Mujer,6,beyond secondary,
49,1,44,Hombre,,beyond secondary,
49,2,35,Mujer,,beyond secondary,
49,3,18,Mujer,2,beyond secondary,
49,4,17,Hombre,2,beyond secondary,9
49,5,12,Mujer,2,beyond secondary,6
49,6,40,Hombre,,beyond secondary,
50,1,58,Mujer,,beyond secondary,
50,2,42,Hombre,1,beyond secondary,
50,4,21,Mujer,1,beyond secondary,
50,5,20,Mujer,1,beyond secondary,14
50,6,18,Mujer,1,beyond secondary,10
50,7,31,Hombre,1,beyond secondary,
51,1,32,Hombre,,beyond secondary,
51,2,28,Mujer,5,beyond secondary,
51,3,11,Hombre,2,beyond secondary,6
51,4,6,Hombre,2,beyond secondary,1
51,5,56,Mujer,,beyond secondary,
52,2,32,Mujer,,beyond secondary,
52,3,11,Mujer,2,beyond secondary,5
52,4,6,Hombre,2,beyond secondary,1
53,1,40,Hombre,,beyond secondary,
53,2,33,Mujer,,beyond secondary,
53,3,17,Hombre,2,beyond secondary,9
53,4,13,Hombre,2,beyond secondary,6
54,1,62,Hombre,,beyond secondary,
54,2,58,Mujer,,beyond secondary,
54,5,12,Mujer,,beyond secondary,5
55,7,12,Mujer,12,beyond secondary,6
54,8,34,Hombre,2,beyond secondary,1
54,10,22,Hombre,2,beyond secondary,
55,12,35,Mujer,,beyond secondary,15
56,1,48,Hombre,,beyond secondary,
56,2,31,Mujer,,beyond secondary,1
56,3,7,Hombre,2,beyond secondary,2
56,4,12,Mujer,2,beyond secondary,7
56,5,10,Mujer,2,beyond secondary,5
57,1,48,Mujer,,beyond secondary,
58,2,31,Mujer,,beyond secondary,1
58,3,9,Mujer,2,beyond secondary,4
57,4,29,Mujer,1,beyond secondary,
57,5,11,Hombre,4,beyond secondary,5
57,6,10,Hombre,4,beyond secondary,4
57,7,6,Hombre,4,beyond secondary,2
57,8,1,Mujer,4,beyond secondary,
58,8,5,Mujer,2,beyond secondary,
57,9,24,Mujer,1,beyond secondary,
57,10,7,Hombre,9,beyond secondary,2
57,11,2,Mujer,9,beyond secondary,
59,1,66,Hombre,,beyond secondary,
59,2,61,Mujer,,beyond secondary,
59,3,30,Mujer,2,beyond secondary,
59,4,9,Mujer,3,beyond secondary,4
59,5,41,Hombre,2,beyond secondary,
59,6,21,Mujer,,beyond secondary,1
59,7,3,Hombre,6,beyond secondary,
59,8,17,Hombre,,beyond secondary,11
59,9,27,Hombre,,beyond secondary,
60,1,63,Hombre,,beyond secondary,
60,2,57,Mujer,,beyond secondary,
60,3,18,Mujer,,beyond secondary,
61,1,60,Hombre,,beyond secondary,
61,2,39,Mujer,,beyond secondary,
61,5,21,Mujer,2,beyond secondary,12
61,6,19,Mujer,2,beyond secondary,1
62,1,63,Mujer,,beyond secondary,
62,3,68,Hombre,,beyond secondary,
62,5,18,Hombre,,beyond secondary,
62,6,36,Hombre,1,beyond secondary,
62,7,47,Hombre,,beyond secondary,
63,1,53,Mujer,,beyond secondary,
63,2,33,Mujer,1,beyond secondary,
63,3,25,Mujer,1,beyond secondary,
63,4,8,Hombre,3,beyond secondary,3
63,5,6,Mujer,3,beyond secondary,2
63,6,31,Hombre,1,beyond secondary,
63,7,49,Mujer,,beyond secondary,
63,8,20,Hombre,7,beyond secondary,
63,9,10,Hombre,,beyond secondary,3
64,1,63,Mujer,,beyond secondary,
64,2,42,Mujer,1,beyond secondary,
64,3,14,Hombre,2,beyond secondary,10
64,4,10,Hombre,2,beyond secondary,5
65,1,44,Hombre,,beyond secondary,
65,2,39,Mujer,,beyond secondary,12
65,3,15,Mujer,2,beyond secondary,10
65,4,10,Mujer,2,beyond secondary,5
65,5,6,Hombre,2,beyond secondary,1
66,1,42,Hombre,,beyond secondary,
66,2,41,Mujer,,beyond secondary,
66,3,11,Hombre,2,beyond secondary,6
66,4,8,Hombre,2,beyond secondary,4
67,1,46,Hombre,,beyond secondary,
67,2,39,Mujer,,beyond secondary,
67,3,16,Hombre,2,beyond secondary,10
67,4,14,Mujer,2,beyond secondary,9
67,5,12,Mujer,2,beyond secondary,7
67,6,6,Mujer,2,beyond secondary,1
67,7,67,Hombre,,beyond secondary,
68,1,36,Hombre,,beyond secondary,
68,2,38,Mujer,5,beyond secondary,
68,3,4,Hombre,2,beyond secondary,
68,4,2,Mujer,2,beyond secondary,
68,5,72,Mujer,,beyond secondary,
69,1,45,Hombre,,beyond secondary,
69,2,39,Mujer,,beyond secondary,
69,3,18,Mujer,2,beyond secondary,1
69,4,15,Mujer,2,beyond secondary,9
70,1,41,Hombre,,beyond secondary,14
70,2,37,Mujer,,beyond secondary,
70,3,15,Hombre,2,beyond secondary,9
70,4,11,Mujer,2,beyond secondary,3
70,5,6,Hombre,2,beyond secondary,1
70,7,19,Mujer,,beyond secondary,1
71,1,56,Hombre,,beyond secondary,
71,2,54,Mujer,,beyond secondary,
71,3,30,Hombre,2,beyond secondary,
71,4,20,Mujer,,beyond secondary,13
72,1,45,Hombre,,beyond secondary,
72,2,45,Mujer,,beyond secondary,
73,1,39,Hombre,,beyond secondary,
73,2,36,Mujer,,beyond secondary,
73,3,8,Hombre,2,beyond secondary,3
73,4,5,Mujer,2,beyond secondary,
73,5,0,Hombre,2,beyond secondary,
74,1,49,Hombre,,beyond secondary,
74,2,49,Mujer,,beyond secondary,
74,6,2,Hombre,,beyond secondary,
74,10,15,Hombre,2,beyond secondary,
74,11,13,Mujer,2,beyond secondary,2
74,12,11,Mujer,2,beyond secondary,4
74,13,10,Hombre,2,beyond secondary,1
74,14,8,Mujer,,beyond secondary,0
74,18,27,Hombre,2,beyond secondary,
74,20,28,Mujer,,beyond secondary,
75,1,60,Hombre,,beyond secondary,
75,2,56,Mujer,,beyond secondary,
76,1,35,Hombre,,beyond secondary,
76,2,25,Mujer,,beyond secondary,
76,3,8,Mujer,2,beyond secondary,3
76,4,4,Mujer,2,beyond secondary,
77,2,33,Mujer,,beyond secondary,
77,3,10,Mujer,2,beyond secondary,3
77,4,7,Mujer,2,beyond secondary,3
77,5,17,Hombre,2,beyond secondary,
77,6,15,Hombre,2,beyond secondary,
77,7,14,Mujer,2,beyond secondary,6
78,1,41,Mujer,,beyond secondary,
78,2,16,Hombre,1,beyond secondary,10
79,1,46,Hombre,,beyond secondary,
79,2,41,Mujer,,beyond secondary,
79,4,20,Hombre,2,beyond secondary,
79,5,11,Hombre,2,beyond secondary,6
80,2,28,Mujer,,beyond secondary,
80,3,8,Hombre,2,beyond secondary,3
80,4,7,Mujer,2,beyond secondary,1
80,5,6,Hombre,2,beyond secondary,1
80,6,0,Mujer,2,beyond secondary,
81,1,40,Hombre,,beyond secondary,
81,2,45,Mujer,,beyond secondary,
81,7,14,Mujer,2,beyond secondary,8
81,8,12,Hombre,2,beyond secondary,3
81,9,10,Hombre,2,beyond secondary,1
81,10,9,Hombre,2,beyond secondary,1
81,11,5,Mujer,2,beyond secondary,
82,1,64,Hombre,,beyond secondary,
82,2,61,Mujer,,beyond secondary,
82,4,28,Hombre,2,beyond secondary,
82,5,26,Mujer,2,beyond secondary,
82,6,24,Hombre,2,beyond secondary,
82,7,29,Mujer,2,beyond secondary,
82,9,13,Hombre,7,beyond secondary,5
82,10,10,Mujer,7,beyond secondary,5
82,11,6,Mujer,7,beyond secondary,0
82,12,2,Mujer,5,beyond secondary,
83,1,31,Hombre,,beyond secondary,
83,2,27,Mujer,,beyond secondary,
83,3,10,Mujer,2,beyond secondary,5
83,4,8,Mujer,2,beyond secondary,3
84,1,44,Mujer,,beyond secondary,
84,3,17,Hombre,1,beyond secondary,8
85,1,44,Hombre,,beyond secondary,
85,2,30,Mujer,,beyond secondary,
85,3,16,Mujer,2,beyond secondary,
85,4,15,Hombre,2,beyond secondary,5
85,5,13,Mujer,2,beyond secondary,5
85,6,10,Hombre,2,beyond secondary,2
85,7,0,Hombre,3,beyond secondary,
86,1,41,Mujer,,beyond secondary,
86,2,21,Mujer,1,beyond secondary,14
86,3,18,Mujer,1,beyond secondary,
86,4,11,Mujer,1,beyond secondary,6
87,1,55,Hombre,,beyond secondary,
87,2,45,Mujer,,beyond secondary,
88,4,15,Mujer,10,beyond secondary,8
89,5,13,Hombre,7,beyond secondary,6
89,7,28,Mujer,,beyond secondary,
89,8,26,Hombre,,beyond secondary,
89,9,3,Hombre,7,beyond secondary,
88,10,33,Mujer,,beyond secondary,
88,11,47,Hombre,,beyond secondary,
88,12,1,Mujer,10,beyond secondary,
90,1,55,Hombre,,beyond secondary,
90,2,51,Mujer,,beyond secondary,
90,3,25,Mujer,2,beyond secondary,
91,1,34,Hombre,,beyond secondary,15
91,2,36,Mujer,6,beyond secondary,12
91,3,8,Hombre,2,beyond secondary,3
91,4,5,Hombre,2,beyond secondary,
91,6,61,Mujer,7,beyond secondary,
91,7,87,Mujer,,beyond secondary,
92,1,44,Hombre,,beyond secondary,12
92,2,38,Mujer,,beyond secondary,
92,4,11,Hombre,2,beyond secondary,6
92,5,8,Hombre,2,beyond secondary,3
93,1,49,Hombre,,beyond secondary,
93,2,39,Mujer,,beyond secondary,
93,3,18,Hombre,2,beyond secondary,
93,4,15,Mujer,2,beyond secondary,10
93,5,14,Mujer,2,beyond secondary,10
93,6,12,Hombre,2,beyond secondary,7
93,7,10,Hombre,2,beyond secondary,5
94,6,12,Mujer,,beyond secondary,7
94,8,10,Mujer,11,beyond secondary,5
94,9,8,Mujer,11,beyond secondary,3
94,10,5,Mujer,,beyond secondary,
94,11,30,Mujer,,beyond secondary,
94,12,12,Hombre,11,beyond secondary,6
95,1,38,Hombre,,beyond secondary,
95,2,38,Mujer,,beyond secondary,
95,3,17,Hombre,2,beyond secondary,
95,4,16,Hombre,2,beyond secondary,8
95,5,13,Mujer,2,beyond secondary,7
95,6,10,Hombre,2,beyond secondary,1
95,7,8,Mujer,2,beyond secondary,2
95,8,6,Hombre,2,beyond secondary,1
96,1,36,Mujer,,beyond secondary,
96,3,13,Hombre,1,beyond secondary,7
96,6,16,Mujer,1,beyond secondary,
97,1,41,Mujer,2,beyond secondary,
97,2,81,Mujer,,beyond secondary,
97,3,72,Hombre,,beyond secondary,
98,1,44,Mujer,,beyond secondary,
98,2,24,Hombre,1,beyond secondary,17
98,3,19,Mujer,1,beyond secondary,2
98,4,46,Hombre,,beyond secondary,
99,1,39,Hombre,,beyond secondary,
99,2,35,Mujer,,beyond secondary,
99,3,9,Mujer,2,beyond secondary,4
99,5,5,Mujer,2,beyond secondary,
99,6,2,Mujer,2,beyond secondary,
100,1,53,Hombre,,beyond secondary,
100,2,42,Mujer,,beyond secondary,
100,3,21,Hombre,2,beyond secondary,14
100,4,17,Hombre,2,beyond secondary,11
100,5,9,Mujer,2,beyond secondary,4
102,8,64,Hombre,,beyond secondary,
101,1,53,Hombre,,beyond secondary,
101,2,50,Mujer,,beyond secondary,
101,4,16,Mujer,2,beyond secondary,11
101,10,26,Mujer,2,beyond secondary,
101,11,27,Hombre,,beyond secondary,
101,12,7,Mujer,10,beyond secondary,3
102,13,46,Mujer,,beyond secondary,
102,14,18,Hombre,13,beyond secondary,12
103,1,60,Hombre,,beyond secondary,
103,2,61,Mujer,,beyond secondary,
104,4,33,Hombre,,beyond secondary,13
105,5,34,Mujer,,beyond secondary,15
104,7,13,Hombre,9,beyond secondary,6
105,8,7,Mujer,5,beyond secondary,2
104,9,34,Mujer,,beyond secondary,
104,10,5,Hombre,9,beyond secondary,
104,11,0,Mujer,9,beyond secondary,
105,12,25,Mujer,13,beyond secondary,
105,13,63,Mujer,,beyond secondary,
106,1,38,Hombre,,beyond secondary,
106,2,36,Mujer,,beyond secondary,
106,3,8,Mujer,2,beyond secondary,3
106,4,7,Mujer,2,beyond secondary,2
107,1,53,Mujer,4,beyond secondary,
107,2,57,Hombre,,beyond secondary,
107,3,27,Hombre,1,beyond secondary,
107,4,85,Mujer,,beyond secondary,
108,1,59,Hombre,,beyond secondary,
108,2,62,Mujer,,beyond secondary,
108,4,39,Hombre,2,beyond secondary,
109,2,52,Mujer,,beyond secondary,
109,5,22,Hombre,2,beyond secondary,
109,9,48,Hombre,,beyond secondary,
109,11,28,Mujer,7,beyond secondary,
110,1,46,Mujer,,beyond secondary,
110,3,10,Mujer,1,beyond secondary,4
110,4,7,Hombre,1,beyond secondary,1
110,5,74,Hombre,,beyond secondary,
110,6,34,Hombre,,beyond secondary,
110,8,22,Hombre,,beyond secondary,
110,9,18,Mujer,,beyond secondary,
110,10,5,Hombre,,beyond secondary,
110,11,0,Mujer,9,beyond secondary,
111,1,45,Mujer,,beyond secondary,
111,2,37,Hombre,,beyond secondary,
111,3,16,Mujer,1,beyond secondary,9
111,4,9,Mujer,1,beyond secondary,4
111,5,22,Mujer,,beyond secondary,
112,1,58,Mujer,,beyond secondary,
112,2,39,Mujer,1,beyond secondary,
112,3,18,Mujer,2,beyond secondary,
112,5,57,Hombre,,beyond secondary,
112,7,0,Mujer,3,beyond secondary,
113,1,53,Hombre,,beyond secondary,
113,2,45,Mujer,,beyond secondary,
113,3,28,Mujer,2,beyond secondary,
113,4,26,Hombre,2,beyond secondary,
113,5,24,Hombre,2,beyond secondary,
113,6,19,Mujer,2,beyond secondary,
113,7,3,Hombre,6,beyond secondary,
113,8,32,Hombre,,beyond secondary,
113,9,21,Mujer,,beyond secondary,
113,10,36,Hombre,,beyond secondary,
113,11,1,Hombre,3,beyond secondary,
113,12,1,Mujer,6,beyond secondary,
113,13,2,Mujer,9,beyond secondary,
114,1,59,Hombre,,beyond secondary,
114,2,55,Mujer,,beyond secondary,
114,4,30,Hombre,2,beyond secondary,
114,6,11,Hombre,,beyond secondary,6
114,7,20,Mujer,2,beyond secondary,
114,8,18,Hombre,2,beyond secondary,10
115,1,45,Hombre,,beyond secondary,
115,2,34,Mujer,,beyond secondary,
115,3,12,Hombre,2,beyond secondary,7
115,4,7,Hombre,2,beyond secondary,1
115,5,5,Mujer,2,beyond secondary,
116,1,48,Hombre,5,beyond secondary,
117,2,48,Mujer,,beyond secondary,
116,5,74,Mujer,,beyond secondary,
116,6,84,Hombre,,beyond secondary,
116,7,38,Mujer,,beyond secondary,
118,1,40,Hombre,,beyond secondary,
118,2,81,Mujer,,beyond secondary,
119,1,46,Hombre,,beyond secondary,15
119,2,39,Mujer,,beyond secondary,
119,3,6,Mujer,2,beyond secondary,1
119,4,0,Mujer,2,beyond secondary,
120,1,66,Hombre,,beyond secondary,
120,2,63,Mujer,,beyond secondary,
120,4,40,Hombre,2,beyond secondary,
120,6,38,Mujer,2,beyond secondary,
120,7,21,Hombre,,beyond secondary,
120,8,4,Hombre,6,beyond secondary,
120,9,45,Mujer,2,beyond secondary,12
120,10,2,Hombre,6,beyond secondary,
120,11,2,Hombre,6,beyond secondary,
121,1,57,Mujer,,beyond secondary,
121,2,16,Mujer,1,beyond secondary,11
122,3,35,Hombre,,beyond secondary,
122,4,34,Mujer,,beyond secondary,
122,5,8,Hombre,4,beyond secondary,4
122,6,6,Hombre,4,beyond secondary,1
121,7,29,Hombre,1,beyond secondary,
121,8,7,Hombre,,beyond secondary,2
123,1,67,Hombre,,beyond secondary,
123,2,66,Mujer,,beyond secondary,
124,1,44,Hombre,,beyond secondary,15
124,2,41,Mujer,,beyond secondary,
124,3,19,Mujer,2,beyond secondary,14
124,4,15,Mujer,2,beyond secondary,10
124,5,13,Hombre,2,beyond secondary,6
125,1,57,Mujer,,beyond secondary,
125,2,55,Hombre,,beyond secondary,
126,3,29,Mujer,,beyond secondary,
126,4,31,Hombre,,beyond secondary,
126,5,10,Mujer,3,beyond secondary,4
126,6,9,Hombre,3,beyond secondary,0
126,7,6,Mujer,3,beyond secondary,1
125,9,29,Hombre,,beyond secondary,
127,1,54,Hombre,,beyond secondary,
127,2,50,Mujer,,beyond secondary,
127,3,26,Hombre,2,beyond secondary,
127,4,29,Hombre,2,beyond secondary,
127,5,26,Mujer,,beyond secondary,
127,6,7,Hombre,5,beyond secondary,2
127,8,3,Hombre,5,beyond secondary,
128,1,65,Hombre,,beyond secondary,
128,2,63,Mujer,,beyond secondary,
128,3,21,Mujer,5,beyond secondary,15
128,4,20,Mujer,5,beyond secondary,15
128,5,38,Mujer,2,beyond secondary,
128,6,32,Hombre,2,beyond secondary,
128,8,0,Mujer,5,beyond secondary,
129,1,52,Hombre,,beyond secondary,
129,2,48,Mujer,,beyond secondary,
129,3,24,Mujer,2,beyond secondary,2
129,4,19,Mujer,2,beyond secondary,11
129,5,1,Mujer,3,beyond secondary,
129,6,39,Hombre,,beyond secondary,
130,1,34,Hombre,,beyond secondary,
130,2,29,Mujer,,beyond secondary,
130,3,10,Hombre,2,beyond secondary,2
130,4,1,Hombre,2,beyond secondary,
131,1,49,Mujer,,beyond secondary,
131,2,59,Hombre,,beyond secondary,
131,6,17,Mujer,1,beyond secondary,11
132,1,51,Hombre,,beyond secondary,
132,2,41,Mujer,,beyond secondary,
132,4,21,Mujer,2,beyond secondary,
132,5,17,Hombre,2,beyond secondary,11
132,6,13,Mujer,2,beyond secondary,8
132,8,8,Mujer,,beyond secondary,2
133,1,50,Hombre,6,beyond secondary,
133,2,50,Mujer,,beyond secondary,
133,3,25,Mujer,2,beyond secondary,
133,4,23,Hombre,2,beyond secondary,
133,5,19,Mujer,2,beyond secondary,2
133,6,81,Mujer,,beyond secondary,
133,7,1,Hombre,3,beyond secondary,
134,1,60,Hombre,,beyond secondary,
134,2,59,Mujer,,beyond secondary,
134,3,32,Hombre,2,beyond secondary,
134,4,10,Hombre,,beyond secondary,5
655,7,31,Hombre,,beyond secondary,
135,1,70,Hombre,,beyond secondary,
135,2,66,Mujer,,beyond secondary,
135,3,40,Hombre,2,beyond secondary,
135,4,44,Hombre,2,beyond secondary,
135,5,30,Hombre,,beyond secondary,
135,6,26,Mujer,,beyond secondary,
135,7,0,Hombre,6,beyond secondary,
135,8,5,Mujer,6,beyond secondary,
135,9,3,Mujer,6,beyond secondary,
135,10,49,Hombre,,beyond secondary,
135,11,58,Mujer,,beyond secondary,
136,1,63,Hombre,,beyond secondary,
136,2,36,Mujer,,beyond secondary,
136,3,10,Hombre,2,beyond secondary,5
136,4,8,Hombre,2,beyond secondary,2
136,5,5,Mujer,2,beyond secondary,
136,6,4,Hombre,2,beyond secondary,
137,1,59,Hombre,,beyond secondary,
137,2,60,Mujer,,beyond secondary,
138,1,33,Hombre,,beyond secondary,
138,2,31,Mujer,,beyond secondary,
138,3,7,Hombre,2,beyond secondary,2
138,4,3,Hombre,2,beyond secondary,
139,1,35,Mujer,,beyond secondary,
139,2,14,Hombre,1,beyond secondary,10
139,9,38,Hombre,,beyond secondary,
140,1,39,Mujer,,beyond secondary,
140,2,19,Hombre,1,beyond secondary,1
140,3,10,Mujer,1,beyond secondary,4
140,4,83,Hombre,,beyond secondary,
140,5,76,Mujer,,beyond secondary,
140,6,39,Hombre,5,beyond secondary,
141,2,36,Mujer,,beyond secondary,
141,3,10,Mujer,2,beyond secondary,5
141,4,5,Mujer,2,beyond secondary,
142,1,62,Mujer,,beyond secondary,
