hh_id,indiv_id,sex_2004,sex_2007,sex_2011
PE011025,6,Male,-99,-99
PE011025,15,Male,Male,Male
PE011025,16,-99,-99,Female
PE011026,0,Male,Male,Male
PE011026,1,Male,Male,Male
PE011026,2,Female,Female,Female
PE011026,3,Male,Male,Mald
PE011026,15,Male,Male,Male
PE011026,16,Female,Female,Female
PE011026,17,-99,-99,Female
PE011026,18,-99,-99,Male
PE011027,0,Female,Female,Female
PE011027,1,Male,Male,Male
PE011027,2,Female,Female,Female
PE011027,3,Male,Male,Male
PE011027,4,Female,Female,Female
PE011027,5,Male,Male,Male
PE011027,6,Male,Male,Male
PE011027,7,-99,-99,Female
PE011028,0,Female,Female,Female
PE011028,1,Female,Female,Female
PE011028,2,Female,Female,Female
PE011028,3,Male,Male,Male
PE011028,4,Male,Male,Male
PE011028,6,-99,-99,-99
PE011029,0,Female,Female,Female
PE011029,1,Male,Male,Male
PE011029,2,Female,Female,Female
PE011029,3,Male,Male,Male
PE011030,0,Male,Male,Male
PE011030,1,Male,-99,Male
PE011030,2,Female,Female,Female
PE011030,3,Male,-99,Male
PE011030,4,Female,-99,Female
PE011030,5,Female,-99,Female
PE011030,15,Male,-99,Male
PE011030,16,-99,Male,Male
PE011030,17,-99,Female,Female
PE011030,18,-99,Female,Female
PE011030,19,-99,Female,Female
PE011030,20,-99,-99,Female
PE011030,21,-99,-99,Male
PE011031,0,Female,Female,Female
PE011031,1,Male,Male,Male
PE011031,2,Female,Female,Female
PE011032,0,Female,Female,Female
PE011032,1,Female,-99,Female
PE011032,2,Male,-99,Male
PE011032,3,Female,-99,Female
PE011032,4,Male,Male,Male
PE011032,5,Male,Male,Male
PE011032,6,Female,Female,Female
PE011032,7,Male,Male,Male
PE011032,8,Female,Female,Female
PE011032,9,-99,-99,Female
PE011032,10,-99,-99,Female
PE011033,0,Male,Male,Male
PE011033,1,Female,-99,Female
PE011033,2,Male,Male,Male
PE011033,3,Female,Female,Female
PE011033,4,Female,Female,Female
PE011033,5,Female,-99,Female
PE011033,6,Male,-99,Male
PE011033,15,Male,-99,Male
PE011033,16,Male,Male,Male
PE011033,17,-99,Male,Male
PE011033,18,-99,Female,Female
PE011033,19,-99,Male,Male
PE011033,20,-99,Female,Female
PE011033,21,-99,Male,Male
PE011033,22,-99,Female,Female
PE011034,0,Male,Male,Male
PE011034,1,Female,Female,Female
PE011034,2,Female,Female,Female
PE011034,3,Female,Female,Female
PE011034,4,Male,Male,Male
PE011034,5,Female,Female,Female
PE011034,6,Female,Female,Female
PE011034,7,Male,Male,Male
PE011034,8,Female,Female,Female
PE011034,9,-99,-99,Male
PE011035,0,Female,Female,Female
PE011035,1,Male,Male,Male
PE011035,2,Female,Female,Female
PE011035,3,Female,-99,Female
PE011035,4,Male,Male,Male
PE011035,5,Female,Female,Female
PE011035,15,Female,Female,Female
PE011035,16,-99,Female,Female
PE011035,17,-99,Male,Male
PE011036,0,Male,Male,Male
PE011036,1,Male,Male,Male
PE011036,2,Female,Female,Female
PE011036,3,Female,Female,Female
PE011036,4,Female,Female,Female
PE011036,5,Male,Male,Male
PE011036,6,Female,-99,Female
PE011036,7,-99,Female,Female
PE011036,8,-99,Female,Female
PE011037,0,Male,Male,Male
PE011037,1,Male,-99,Male
PE011037,2,Female,-99,Female
PE011037,3,Female,Female,Female
PE011037,4,Male,-99,Male
PE011037,5,Female,-99,Female
PE011037,6,Male,-99,Male
PE011037,7,Male,Male,Male
PE011037,8,Male,Male,Male
PE011037,9,Female,-99,Female
PE011037,10,-99,Male,Male
PE011038,0,Male,Male,Male
PE011038,1,Male,-99,-99
PE011038,2,Female,Female,Female
PE011038,3,Female,-99,Female
PE011038,4,Male,Male,Male
PE011038,5,Male,-99,-99
PE011038,6,Male,Male,Male
PE011038,7,-99,-99,Male
PE011039,0,Male,Male,Male
PE011039,1,Male,Male,Male
PE011039,2,Female,Female,Female
PE011039,3,Male,-99,Male
PE011039,4,Male,-99,Male
PE011039,5,Male,Male,Male
PE011039,6,Female,Female,Female
PE011039,7,Male,-99,Male
PE011039,8,Female,-99,Female
PE011039,15,Male,-99,Male
PE011040,0,Female,Female,Female
PE011040,1,Male,Male,Male
PE011040,2,Female,Female,Female
PE011040,3,Female,Female,Female
PE011040,4,Male,Male,Male
PE011040,5,Male,Male,Male
PE011040,6,Male,Male,Male
PE011040,7,Female,Female,Female
PE011040,8,-99,-99,Male
PE011040,9,-99,-99,Female
PE011041,0,Male,Male,Male
PE011041,1,Male,-99,Male
PE011041,2,Female,Female,Female
PE011041,3,Female,Female,Female
PE011042,0,Male,Male,Male
PE011042,1,Male,-99,Male
PE011042,2,Female,Female,Female
PE011042,3,Female,Female,Female
PE011042,4,-99,Female,Female
PE011042,5,-99,-99,Female
PE011043,0,Female,Female,Female
PE011043,1,Male,Male,Male
PE011043,2,Female,Female,Female
PE011043,15,Female,Female,Female
PE011043,16,Male,Male,Male
PE011044,0,Male,Male,Male
PE011044,1,Male,Male,Male
PE011044,2,Female,Female,Female
PE011044,3,Male,Male,Male
PE011044,4,Male,Male,Male
PE011044,5,Male,-99,-99
PE011044,6,Female,Female,Female
PE011045,0,Female,Female,Female
PE011045,1,Male,-99,Male
PE011045,2,Female,Female,Female
PE011045,3,-99,Female,Female
PE011045,4,-99,Male,Male
PE011045,5,-99,Male,Male
PE011046,0,Male,Male,Male
PE011046,1,Male,Male,Male
PE011046,2,Female,Female,Female
PE011046,3,Male,Male,Male
PE011046,4,Female,Female,Female
PE011047,0,Female,Female,Female
PE011047,1,Male,Male,Male
PE011047,2,Female,Female,Female
PE011047,3,Female,-99,Female
PE011047,4,Female,Female,Female
PE011048,0,Female,Female,Female
PE011048,1,Female,Female,Female
PE011048,2,Female,Female,Female
PE011048,3,Female,-99,Female
PE011048,4,Male,-99,Male
PE011048,5,Female,-99,Female
PE011048,6,Male,-99,Male
PE011048,7,Male,Male,Male
PE011049,0,Male,Male,Male
PE011049,1,Male,Male,Male
PE011049,2,Female,Female,Female
PE011049,3,Female,Female,Female
PE011049,4,Female,Female,Female
PE011050,0,Female,Female,Female
PE011050,1,Male,Male,Male
PE011050,2,Female,Female,Female
PE011050,3,Female,-99,Female
PE011051,0,Female,Female,Female
PE011051,1,Male,Male,Male
PE011051,2,Female,Female,Female
PE011051,3,Male,Male,Male
PE011051,4,Female,-99,Female
PE011051,5,Female,Female,Female
PE011051,6,Female,Female,Female
PE011051,7,Male,Male,Male
PE011052,0,Male,Male,Male
PE011052,1,Male,-99,Male
PE011052,2,Female,Female,Female
PE011052,3,Male,Male,Male
PE011052,4,Male,Male,Male
PE011052,5,Male,Male,Male
PE011052,6,-99,Male,Male
PE011052,7,-99,Female,Female
PE011052,8,-99,Male,Male
PE011052,9,-99,Female,Female
PE011053,0,Female,Female,Female
PE011053,1,Female,-99,Female
PE011053,2,Female,-99,Female
PE011053,3,Male,-99,Male
PE011053,4,Male,-99,Male
PE011053,5,Male,-99,Male
PE011053,15,Female,Female,Female
PE011053,16,Male,Male,Male
PE011053,17,-99,Female,Female
PE011053,18,-99,Female,Female
PE011053,19,-99,-99,Male
PE011054,0,Male,Male,Male
PE011054,1,Male,Male,Male
PE011054,2,Female,Female,Female
PE011054,3,Male,Male,Male
PE011054,4,Female,-99,Female
PE011054,5,Male,Male,Male
PE011054,6,Male,-99,Male
PE011054,7,-99,-99,Female
PE011055,0,Female,Female,Female
PE011055,1,Male,Male,Male
PE011055,2,Female,Female,Female
PE011055,3,Male,Male,Male
PE011056,0,Female,Female,Female
PE011056,1,Male,-99,Male
PE011056,2,Female,Female,Female
PE011056,3,Female,Female,Female
PE011056,4,-99,Male,Male
PE011056,5,-99,Female,Female
PE011056,6,-99,Male,Male
PE011056,7,-99,Female,Female
PE011056,8,-99,-99,Female
PE011057,0,Male,Male,Male
PE011057,1,Male,Male,Male
PE011057,2,Female,Female,Female
PE011057,3,Female,Female,Female
PE011057,4,Female,Female,Female
PE011057,5,Male,Male,Male
PE011057,6,-99,-99,Male
PE011057,7,-99,-99,Male
PE011057,8,-99,-99,Male
PE011058,1,-99,-99,-99
PE011058,2,-99,-99,-99
PE011058,3,-99,-99,-99
PE011058,4,-99,-99,-99
PE011058,5,-99,-99,-99
PE011058,6,-99,-99,-99
PE011058,7,-99,-99,-99
PE011058,8,-99,-99,-99
PE011058,15,-99,-99,-99
PE011059,0,Female,Female,Female
PE011059,1,Male,Male,Male
PE011059,2,Female,Female,Female
PE011059,3,-99,Female,Female
PE011059,4,-99,Male,Male
PE011060,0,Female,Female,Female
PE011060,1,Male,Male,Male
PE011060,2,Female,Female,Female
PE011060,3,-99,-99,Male
PE011060,4,-99,-99,Female
PE011060,5,-99,-99,Male
PE011061,0,Male,Male,Male
PE011061,1,Female,Female,Female
PE011061,2,Male,-99,Male
PE011061,3,Male,-99,Male
PE011061,4,Female,-99,Female
PE011061,5,Female,-99,Female
PE011061,6,Male,-99,Male
PE011061,15,Female,-99,Female
PE011061,16,Male,-99,Male
PE011061,17,Female,-99,Female
PE011061,18,Male,Male,Male
PE011061,19,-99,Male,Male
PE011061,20,-99,Male,Male
PE011062,0,Female,Female,Female
PE011062,1,Female,Female,Female
PE011062,2,Male,Male,Male
PE011062,3,Female,Female,Female
PE011062,4,Female,-99,Female
PE011062,5,Male,Male,Male
PE011063,0,Female,Female,Female
PE011063,1,Male,Male,Male
PE011063,2,Female,Female,Female
PE011063,3,Male,Male,Male
PE011064,0,Female,Female,Female
PE011064,1,Male,Male,Male
PE011064,2,Female,Female,Female
PE011064,15,Male,Male,Male
PE011064,16,-99,-99,Female
PE011065,0,Male,Male,Male
PE011065,1,Male,Male,Male
PE011065,2,Female,Female,Female
PE011065,3,Male,-99,Male
PE011065,4,Male,Male,Male
PE011066,0,Female,Female,Female
PE011066,1,Female,Female,Female
PE011066,2,Female,-99,Female
PE011066,3,Female,-99,Female
PE011066,4,Male,-99,Male
PE011066,5,Male,-99,Male
PE011066,6,Male,-99,Male
PE011066,7,Male,-99,Male
PE011066,8,Male,-99,Male
PE011066,9,Male,-99,Male
PE011066,10,Female,-99,Female
PE011066,15,Male,-99,Male
PE011066,16,Male,Male,Male
PE011066,17,Male,-99,Male
PE011066,18,Female,-99,Female
PE011066,19,-99,Male,Male
PE011066,20,-99,Male,Male
PE011066,21,-99,-99,Male
PE011067,0,Male,Male,Male
PE011067,1,Male,Male,Male
PE011067,2,Female,Female,Female
PE011067,3,Female,Female,Female
PE011068,0,Female,Female,Female
PE011068,1,Female,Female,Female
PE011068,2,Male,-99,Male
PE011068,3,Female,-99,Female
PE011068,4,Female,-99,Female
PE011068,5,Male,-99,Male
PE011068,6,Female,-99,Female
PE011068,7,Male,-99,Male
PE011068,15,Male,-99,Male
PE011068,16,Female,-99,Female
PE011068,17,Female,-99,Female
PE011069,0,Male,Male,-99
PE011069,1,Male,-99,-99
PE011069,2,Female,Female,-99
PE011069,3,Female,-99,-99
PE011069,4,Male,-99,-99
PE011069,5,Female,Female,-99
PE011069,6,Female,-99,-99
PE011069,7,Female,Female,-99
PE011069,8,Male,-99,-99
PE011069,9,Male,Male,-99
PE011069,10,Male,-99,-99
PE011070,0,Male,Male,Male
PE011070,1,Male,Male,Male
PE011070,2,Female,Female,Female
PE011070,15,Male,Male,Male
PE011070,16,Male,Male,Male
PE011070,17,Female,Female,Female
PE011070,18,-99,-99,Male
PE011071,0,Male,Male,Male
PE011071,1,Male,Male,Male
PE011071,2,Female,Female,Female
PE011071,3,Male,-99,Male
PE011071,4,Female,-99,Female
PE011071,5,Male,-99,Male
PE011071,6,Female,-99,Female
PE011071,7,Female,-99,Female
PE011071,8,Female,-99,Male
PE011071,9,Female,-99,Female
PE011071,15,Male,-99,-99
PE011071,16,-99,-99,Male
PE011072,0,Male,Male,Male
PE011072,1,Male,Male,Male
PE011072,2,Female,Female,Female
PE011072,3,Male,Male,Male
PE011072,4,-99,-99,Female
PE011073,0,Male,Male,Male
PE011073,1,Male,Male,Male
PE011073,2,Female,Female,Female
PE011074,0,Male,Male,Male
PE011074,1,Male,Male,Male
PE011074,2,Female,Female,Female
PE011074,3,Male,Male,Male
PE011074,4,Female,-99,Female
PE011074,5,Male,Male,Male
PE011074,6,-99,-99,Female
PE011074,7,-99,-99,Female
PE011075,0,Male,Male,Male
PE011075,1,Male,Male,Male
PE011075,2,Female,Female,Female
PE011075,3,Male,-99,Male
PE011075,4,Female,-99,Female
PE011075,5,Female,-99,Female
PE011075,6,Female,-99,Female
PE011075,7,Female,-99,Female
PE011075,15,Female,Female,Female
PE011075,16,Male,-99,Male
PE011075,17,Male,-99,Male
PE011075,18,-99,-99,Female
PE011076,0,Female,Female,Female
PE011076,1,Male,Male,Male
PE011076,2,Female,Female,Female
PE011076,3,Female,-99,Female
PE011076,4,Female,-99,Female
PE011076,5,Male,-99,Male
PE011076,6,Male,-99,Male
PE011076,7,Female,-99,Female
PE011076,8,Male,-99,Male
PE011076,9,Female,-99,Female
PE011076,10,Male,-99,Male
PE011076,15,Male,-99,Male
PE011076,16,Male,-99,Male
PE011076,17,-99,Female,Female
PE011076,18,-99,Female,Female
PE011076,19,-99,Male,Male
PE011076,20,-99,Male,Male
PE011076,21,-99,Female,Female
PE011076,22,-99,Female,Female
PE011077,0,Female,Female,Female
PE011077,1,Male,Male,Male
PE011077,2,Female,Female,Female
PE011077,3,Male,-99,Male
PE011077,4,-99,Male,Male
PE011077,5,-99,-99,Female
PE011077,6,-99,-99,Male
PE011078,0,Female,Female,Female
PE011078,1,Female,Female,Female
PE011078,2,Male,-99,Male
PE011078,3,Female,-99,Female
PE011078,4,Male,-99,Male
PE011078,5,Male,-99,Male
PE011078,6,Male,-99,Male
PE011078,7,-99,-99,Male
PE011079,0,Female,Female,Female
PE011079,1,Male,Male,Male
PE011079,2,Female,Female,Female
PE011079,3,Male,-99,Male
PE011079,4,Female,-99,Female
PE011079,5,Female,-99,Female
PE011079,6,Male,Male,Male
PE011079,7,-99,-99,Female
PE011079,8,-99,-99,Male
PE011079,9,-99,-99,Male
PE011080,0,Male,Male,Male
PE011080,1,Male,Male,Male
PE011080,2,Female,Female,Female
PE011080,3,Male,Male,Male
PE011080,4,Female,Female,Female
PE011081,0,Female,Female,Female
PE011081,1,Male,Male,Male
PE011081,2,Female,-99,Female
PE011081,15,Female,-99,Female
PE011081,16,Male,Male,Male
PE011081,17,Female,Female,Female
PE011081,18,-99,-99,Female
PE011081,19,-99,-99,Male
PE011081,20,-99,-99,Male
PE011082,0,Female,Female,Female
PE011082,1,Female,-99,Female
PE011082,2,Female,Female,Female
PE011082,3,Female,Female,Female
PE011082,4,Female,Female,Female
PE011082,15,Female,Female,Female
PE011082,16,Male,Male,Male
PE011082,17,Female,Female,Female
PE011082,18,Male,Male,Male
PE011082,19,Female,Female,Female
PE011082,20,Male,Male,Male
PE011082,21,-99,Male,Male
PE011082,22,-99,-99,Male
PE011082,23,-99,-99,Male
PE011082,24,-99,-99,Male
PE011082,25,-99,-99,Male
PE011083,0,Male,Male,Male
PE011083,1,Male,-99,Male
PE011083,2,Female,Female,Female
PE011083,3,Female,Female,Female
PE011083,4,Male,-99,Male
PE011083,5,Female,Female,Female
PE011083,6,Female,Female,Female
PE011084,0,Male,Male,Male
PE011084,1,Male,Male,Male
PE011084,2,Female,Female,Female
PE011084,3,Male,-99,Male
PE011084,4,-99,Female,Female
PE011084,5,-99,Female,Female
PE011084,6,-99,Female,Female
PE011084,7,-99,Male,Male
PE011085,0,Male,Male,Male
PE011085,1,Male,Male,Male
PE011085,2,Female,Female,Female
PE011085,3,Female,Female,Female
PE011085,4,Female,Female,Female
PE011085,5,Female,Female,Female
PE011086,0,Female,Female,Female
PE011086,1,Male,Male,Male
PE011086,2,Female,Female,Female
PE011086,3,Male,-99,Male
PE011086,4,Female,-99,Female
PE011086,5,Female,-99,Female
PE011086,6,Female,-99,Female
PE011086,7,Male,-99,Male
PE011086,15,Male,-99,Male
PE011086,16,Female,Female,Female
PE011086,17,Male,Male,Male
PE011086,18,Male,Male,Male
PE011086,19,Female,Female,Female
PE011086,20,Male,Male,Male
PE011086,21,Male,Male,Male
PE011087,0,Male,Male,Male
PE011087,1,Male,Male,Male
PE011087,2,Female,Female,Female
PE011087,3,Female,Female,Female
PE011087,4,Male,-99,Male
PE011087,15,Female,Female,Female
PE011087,16,-99,Male,Male
PE011087,17,-99,-99,Male
PE011087,18,-99,-99,Male
PE011088,0,Male,Male,Male
PE011088,1,Male,Male,Male
PE011088,2,Female,Female,Female
PE011088,3,Male,Male,Male
PE011088,4,Male,Male,Male
PE011088,5,Female,Female,Female
PE011088,6,Female,Female,Female
PE011088,7,-99,Male,Male
PE011089,0,Male,Male,Male
PE011089,1,Male,Male,Male
PE011089,2,Female,Female,Female
PE011089,3,Male,Male,Male
PE011089,4,Female,Female,Female
PE011090,0,Female,Female,Female
PE011090,1,Male,-99,Male
PE011090,2,Female,Female,Female
PE011090,3,Female,-99,Female
PE011090,4,Female,-99,Female
PE011090,5,Female,Female,Female
PE011090,6,-99,-99,Male
PE011091,0,Male,Male,Male
PE011091,1,Male,Male,Male
PE011091,2,Female,-99,Female
PE011091,3,Female,Female,Female
PE011091,4,-99,Female,Female
PE011091,5,-99,Male,Male
PE011092,0,Male,Male,Male
PE011092,1,Male,Male,Male
PE011092,2,Female,Female,Female
PE011092,3,Male,-99,Male
PE011092,4,Female,-99,Female
PE011092,5,Female,-99,Female
PE011092,6,-99,-99,Female
PE011093,0,Female,Female,Female
PE011093,1,Male,Male,Male
PE011093,2,Female,Female,Female
PE011093,15,Female,Female,Female
PE011093,16,Female,Female,Female
PE011094,0,Female,Female,Female
PE011094,1,Female,Female,Female
PE011094,2,Male,Male,Male
PE011094,3,-99,Female,Female
PE011095,0,Female,Female,Female
PE011095,1,Male,Male,Male
PE011095,2,Female,Female,Female
PE011095,3,Female,-99,Female
PE011095,4,Male,-99,Male
PE011095,5,Male,Male,Male
PE011095,6,-99,-99,Female
PE011096,0,Female,Female,Female
PE011096,1,Male,-99,Male
PE011096,2,Female,Female,Female
PE011096,3,Female,Female,Female
PE011096,4,Female,Female,Female
PE011096,5,Male,Male,Male
PE011096,6,Female,Female,Female
PE011097,0,Female,Female,Female
PE011097,1,Female,Female,Female
PE011097,2,Male,Male,Male
PE011097,3,Female,Female,Female
PE011097,4,Female,Female,Female
PE011097,5,Male,-99,-99
PE011097,6,-99,Female,Female
PE011098,0,Female,Female,Female
PE011098,1,Male,Male,Male
PE011098,2,Female,Female,Female
PE011098,15,Male,Male,Male
PE011099,0,Female,Female,Female
PE011099,1,Male,-99,Male
PE011099,2,Female,Female,Female
PE011099,3,Female,Female,Female
PE011099,4,Male,-99,Male
PE011099,5,Female,Female,Female
PE011099,6,Female,Female,Female
PE011099,7,Male,-99,Male
PE011099,8,Female,Female,Female
PE011099,9,Male,-99,Male
PE011099,10,Male,-99,Male
PE011099,11,Male,Male,Male
PE011099,12,Female,Female,Female
PE011099,13,Male,Male,Male
PE011099,15,Male,Male,Male
PE011099,16,Female,-99,Female
PE011099,17,Male,Male,Male
PE011099,18,-99,Female,Female
PE011099,19,-99,Female,Female
PE011099,20,-99,Male,Male
PE011100,0,Female,Female,Female
PE011100,1,Female,Female,Female
PE011100,2,Male,-99,Male
PE011100,3,Female,-99,Female
PE011100,4,Male,-99,Male
PE011100,5,Male,-99,Male
PE011100,6,Female,-99,Female
PE011100,7,Female,-99,Female
PE011100,8,Male,Male,Male
PE011100,9,Female,Female,Female
PE011100,10,-99,Male,Male
PE021001,0,Female,Female,Female
PE021001,1,Male,Male,Male
PE021001,2,Female,Female,Female
PE021001,3,Female,Female,Female
PE021002,0,Female,Female,Female
PE021002,1,Male,Male,Male
PE021002,2,Female,Female,Female
PE021002,3,Male,-99,Male
PE021002,4,Female,-99,Female
PE021002,5,Male,-99,Male
PE021002,6,-99,-99,Male
PE021003,0,Male,Male,Male
PE021003,1,Male,Male,Male
PE021003,2,Female,Female,Female
PE021003,3,Female,Female,Female
PE021004,0,Male,Male,Male
PE021004,1,Male,Male,Male
PE021004,2,Female,Female,Female
PE021004,3,Female,Female,Female
PE021004,4,Female,Female,Female
PE021005,0,Male,Male,Male
PE021005,1,Male,Male,Male
PE021005,2,Female,Female,Female
PE021005,3,Male,Male,Male
PE021005,4,-99,Female,Female
PE021006,0,Male,Male,Male
PE021006,1,Male,Male,Male
PE021006,2,Female,Female,Female
PE021006,3,Male,Male,Male
PE021006,4,Male,Male,Male
PE021006,15,Male,Male,Male
PE021006,16,Female,Female,Female
PE021006,17,Female,Female,Female
PE021007,0,Female,Female,Female
PE021007,1,Male,Male,Male
PE021007,2,Female,Female,Female
PE021007,3,Female,Female,Female
PE021007,4,-99,-99,Female
PE021008,0,-99,-99,Female
PE021008,1,-99,-99,Male
PE021008,2,-99,-99,Female
PE021008,15,-99,-99,Female
PE021008,16,-99,-99,Male
PE021009,0,Female,Female,Female
PE021009,1,Male,Male,Male
PE021009,2,Female,Female,Female
PE021009,3,Female,Female,Female
PE021009,4,-99,-99,Male
PE021010,0,Male,Male,Male
PE021010,1,Female,Female,Female
PE021010,2,Male,Male,Male
PE021010,3,Male,Male,Male
PE021010,4,Male,-99,Male
PE021010,5,Female,-99,Female
PE021010,6,Female,-99,Female
