hh_id,person_id,age,memsex,relate,livhse
ET010010,2,39,2,1,1
ET010010,3,1,1,7,1
ET010011,0,5,2,0,1
ET010011,1,49,1,1,1
ET010011,2,34,2,1,1
ET010011,3,22,2,9,2
ET010011,4,22,2,7,2
ET010011,5,19,1,7,1
ET010011,6,13,1,7,1
ET010011,7,10,1,7,1
ET010011,15,8,2,9,1
ET010012,0,5,1,0,1
ET010012,1,34,1,1,1
ET010012,2,34,2,1,1
ET010012,3,19,1,7,2
ET010012,4,24,1,14,1
ET010012,5,16,1,7,2
ET010012,6,12,1,7,1
ET010012,7,11,2,14,2
ET010012,15,8,1,7,1
ET010012,16,8,1,7,1
ET010012,17,2,2,7,1
ET010014,0,5,2,0,1
ET010014,1,36,1,1,2
ET010014,2,32,2,1,2
ET010014,3,27,1,13,1
ET010014,4,25,1,13,1
ET010014,5,12,2,7,1
ET010014,6,13,1,14,2
ET010014,7,25,2,19,1
ET010014,8,3,1,19,1
ET010015,0,4,1,0,1
ET010015,1,49,1,1,1
ET010015,2,34,2,1,1
ET010015,3,12,1,7,1
ET010015,4,9,2,7,1
ET010015,15,6,1,7,1
ET010016,0,5,1,0,1
ET010016,1,49,2,5,1
ET010016,2,30,1,1,1
ET010016,3,29,2,1,1
ET010016,4,16,2,13,1
ET010016,15,7,1,7,1
ET010017,0,5,2,0,1
ET010017,1,64,1,6,1
ET010017,2,57,2,5,1
ET010017,3,28,2,1,2
ET010017,4,25,2,13,1
ET010017,5,22,1,13,1
ET010017,6,20,2,13,1
ET010017,7,18,2,13,2
ET010017,15,7,1,19,1
ET010017,16,18,2,20,1
ET010018,0,5,1,0,1
ET010018,1,29,2,1,1
ET010018,2,15,1,13,1
ET010018,3,10,2,13,1
ET010020,0,4,2,0,1
ET010020,1,54,1,18,1
ET010020,2,39,1,13,1
ET010020,3,31,1,13,1
ET010020,4,26,1,13,2
ET010020,5,23,2,13,2
ET010020,6,21,2,1,1
ET010020,7,18,1,13,1
ET010020,8,15,2,13,1
ET010020,9,9,1,14,1
ET010020,10,32,1,16,2
ET010020,15,5,2,14,1
ET010020,16,3,1,14,1
ET010021,0,5,1,0,1
ET010021,1,36,1,1,1
ET010021,2,30,2,1,1
ET010021,3,14,2,13,2
ET010021,4,9,2,13,1
ET010021,5,2,2,7,1
ET010022,0,5,1,0,1
ET010022,1,41,2,5,3
ET010022,2,26,2,13,1
ET010022,3,24,2,1,1
ET010023,0,5,1,0,1
ET010023,1,79,2,5,1
ET010023,2,32,1,1,1
ET010023,3,25,2,1,1
ET010023,4,22,1,13,1
ET010024,0,4,2,0,1
ET010024,1,39,1,1,3
ET010024,2,32,1,13,1
ET010024,3,29,1,13,2
ET010024,4,22,2,1,1
ET010024,5,30,1,19,1
ET010024,6,25,1,19,1
ET010024,7,18,1,19,1
ET010024,8,20,1,19,1
ET010024,9,10,1,19,1
ET010025,0,4,2,0,1
ET010025,1,31,1,1,1
ET010025,2,29,2,1,1
ET010025,3,20,2,13,2
ET010025,4,15,2,13,1
ET010025,15,7,2,7,1
ET010025,16,0,1,7,1
ET010026,0,4,2,0,1
ET010026,1,33,1,1,2
ET010026,2,24,2,1,1
ET010027,0,4,1,0,1
ET010027,1,49,2,5,2
ET010027,2,28,2,13,2
ET010027,3,26,2,1,1
ET010027,4,25,1,13,2
ET010027,5,24,1,13,2
ET010027,6,23,1,13,2
ET010027,7,22,2,13,2
ET010027,8,20,2,13,2
ET010027,9,18,1,13,2
ET010027,10,16,2,13,2
ET010027,11,10,1,13,2
ET010027,15,5,2,14,2
ET010028,0,5,2,0,1
ET010028,1,35,1,1,2
ET010028,2,30,2,1,1
ET010029,0,4,2,0,1
ET010029,1,40,1,1,1
ET010029,2,27,2,1,1
ET010030,0,5,2,0,1
ET010030,1,54,2,5,2
ET010030,2,39,2,13,3
ET010030,3,35,1,1,1
ET010030,4,25,2,1,1
ET010030,5,13,2,13,1
ET010030,16,2,2,7,1
ET010031,0,5,1,0,1
ET010031,1,51,1,1,1
ET010031,2,33,2,1,1
ET010031,3,22,1,13,1
ET010031,4,20,2,14,2
ET010031,5,13,2,7,1
ET010031,6,11,1,7,1
ET010031,15,7,2,7,1
ET010032,0,5,1,0,1
ET010032,1,69,1,16,3
ET010032,2,47,2,13,1
ET010032,3,37,2,1,1
ET010032,4,27,2,13,1
ET010032,5,20,2,14,1
ET010032,6,11,1,14,1
ET010032,7,41,1,1,1
ET010032,8,14,2,19,1
ET010032,9,12,2,14,1
ET010033,0,4,1,0,1
ET010033,1,62,2,19,1
ET010033,2,48,2,5,3
ET010033,3,31,2,1,1
ET010033,4,16,1,19,1
ET010033,5,19,2,20,1
ET010035,0,5,2,0,1
ET010035,1,35,1,1,2
ET010035,2,34,2,1,1
ET010035,3,19,2,7,1
ET010035,4,18,2,7,1
ET010035,5,13,1,7,1
ET010036,0,4,2,0,1
ET010036,1,55,1,1,1
ET010036,2,29,2,1,1
ET010036,3,10,2,7,1
ET010036,15,8,1,7,1
ET010037,0,5,1,0,1
ET010037,1,49,2,5,1
ET010037,2,33,2,1,1
ET010037,3,30,1,13,1
ET010037,4,19,2,13,1
ET010037,5,18,2,20,2
ET010037,6,14,2,19,1
ET010038,0,4,2,0,1
ET010038,1,41,1,1,2
ET010038,2,32,2,1,1
ET010038,3,20,2,13,1
ET010038,4,34,1,13,1
ET010038,5,11,1,7,1
ET010038,15,7,1,7,1
ET010040,0,5,1,0,1
ET010040,1,34,1,1,1
ET010040,2,28,2,1,1
ET010040,3,27,1,13,1
ET010040,4,16,2,13,2
ET010040,15,8,1,7,1
ET010040,16,4,1,7,1
ET010041,0,5,2,0,1
ET010041,1,59,2,5,2
ET010041,2,29,2,1,1
ET010041,3,27,2,13,2
ET010041,4,24,1,13,2
ET010041,5,19,2,13,2
ET010041,6,18,2,13,2
ET010041,15,7,1,7,1
ET010042,0,5,1,0,1
ET010042,1,59,1,5,1
ET010042,2,41,2,5,1
ET010042,3,28,2,1,2
ET010042,4,24,1,13,1
ET010043,0,5,2,0,1
ET010043,1,44,1,1,1
ET010043,2,39,2,1,1
ET010043,3,26,1,7,1
ET010043,4,18,1,7,1
ET010043,5,15,2,7,1
ET010043,6,12,1,7,1
ET010043,7,10,1,7,1
ET010043,15,8,1,7,1
ET010043,16,3,1,7,1
ET010044,0,4,1,0,1
ET010044,1,49,1,1,3
ET010044,2,44,2,1,1
ET010044,3,32,1,7,2
ET010044,4,29,1,7,2
ET010044,5,26,1,7,1
ET010044,6,20,1,7,1
ET010044,7,13,2,7,1
ET010044,8,21,2,7,2
ET010044,9,23,2,7,1
ET010044,10,2,2,14,1
ET010045,0,4,1,0,1
ET010045,1,49,2,5,1
ET010045,2,31,1,1,1
ET010045,3,29,2,1,1
ET010045,4,9,2,7,1
ET010045,5,0,1,7,1
ET010046,0,5,1,0,1
ET010046,1,44,1,1,1
ET010046,2,34,2,1,1
ET010046,3,20,1,8,1
ET010046,4,14,1,7,1
ET010046,5,11,2,7,1
ET010046,15,8,2,7,1
ET010047,0,5,2,0,1
ET010047,1,34,2,1,1
ET010047,2,31,1,13,2
ET010047,3,17,2,13,2
ET010047,4,51,2,19,1
ET010048,0,5,1,0,1
ET010048,1,34,1,1,1
ET010048,2,30,2,1,1
ET010048,3,22,1,13,2
ET010048,4,14,1,13,2
ET010048,5,2,1,7,1
ET010049,0,5,1,0,1
ET010049,1,39,1,1,1
ET010049,2,29,2,1,1
ET010049,3,13,1,7,1
ET010049,4,12,2,7,1
ET010050,0,5,2,0,1
ET010050,1,44,1,1,1
ET010050,2,27,2,1,1
ET010051,0,5,2,0,1
ET010051,1,39,1,1,1
ET010051,2,33,2,1,2
ET010051,3,18,2,7,1
ET010051,4,17,2,7,1
ET010051,5,14,2,7,1
ET010051,6,12,1,7,1
ET010051,7,8,2,19,1
ET010052,0,5,1,0,1
ET010052,1,33,1,1,1
ET010052,2,32,2,1,1
ET010052,3,9,2,7,1
ET010052,4,9,2,7,1
ET010052,5,1,2,7,1
ET010053,0,4,2,0,1
ET010053,1,63,1,6,2
ET010053,2,49,1,13,2
ET010053,3,46,2,13,2
ET010053,4,32,1,13,2
ET010053,5,31,2,13,2
ET010053,6,28,1,13,2
ET010053,7,22,2,1,1
ET010053,8,17,1,13,2
ET010054,0,5,1,0,1
ET010054,1,44,1,1,1
ET010054,2,34,2,1,1
ET010054,3,11,1,7,1
ET010055,0,5,2,0,1
ET010055,1,35,1,1,1
ET010055,2,25,2,1,2
ET010055,3,27,1,13,2
ET010055,4,20,2,2,1
ET010055,5,22,1,19,1
ET010056,0,5,1,0,1
ET010056,1,59,2,13,1
ET010056,2,39,2,14,2
ET010056,3,26,2,14,2
ET010056,4,12,2,19,1
ET010056,5,11,2,19,2
ET010056,6,28,2,1,2
ET010056,7,12,2,14,1
ET010057,0,5,2,0,1
ET010057,1,39,1,1,1
ET010057,2,32,2,1,1
ET010057,3,16,1,13,1
ET010057,15,8,2,7,1
ET010058,0,5,2,0,1
ET010058,1,31,1,15,2
ET010058,2,27,1,1,1
ET010058,3,24,2,1,1
ET010058,4,0,1,7,1
ET010059,0,5,2,0,1
ET010059,1,54,2,5,1
ET010059,2,29,1,13,1
ET010059,3,26,2,1,2
ET010059,4,24,1,13,1
ET010059,5,16,2,13,1
ET010059,6,12,1,13,1
ET010059,7,0,1,19,1
ET010060,0,5,2,0,1
ET010060,1,46,1,1,3
ET010060,2,34,2,1,1
ET010060,3,17,2,7,1
ET010060,4,20,1,9,1
ET010061,0,5,1,0,1
ET010061,1,38,1,1,3
ET010061,2,30,2,1,2
ET010061,3,26,1,13,1
ET010061,4,21,1,8,2
ET010061,5,15,2,13,1
ET010062,0,5,1,0,1
ET010062,1,32,1,1,1
ET010062,2,30,2,1,1
ET010062,15,6,1,7,1
ET010062,16,3,2,7,1
ET010063,0,4,1,0,1
ET010063,1,65,1,6,1
ET010063,2,75,2,18,1
ET010063,3,55,2,6,1
ET010063,4,35,2,13,2
ET010063,5,28,1,1,1
ET010063,6,27,1,13,1
ET010063,7,26,2,13,2
ET010063,8,24,2,13,1
ET010063,9,20,2,13,1
ET010064,0,5,2,0,1
ET010064,1,35,2,1,1
ET010064,2,11,2,9,1
ET010065,0,4,1,0,1
ET010065,1,31,1,1,1
ET010065,2,30,1,13,1
ET010065,3,26,2,1,1
ET010065,4,21,2,13,1
ET010065,5,20,1,13,2
ET010065,15,8,1,7,1
ET010066,0,5,1,0,1
ET010066,1,74,1,6,1
ET010066,2,39,1,1,1
ET010066,3,33,2,1,1
ET010066,4,15,2,13,1
ET010066,5,9,1,7,1
ET010066,15,5,1,7,1
ET010066,16,2,1,7,1
ET010067,0,5,2,0,1
ET010067,1,54,1,1,1
ET010067,2,34,2,1,1
ET010067,3,13,2,7,1
ET010067,4,8,1,7,1
ET010067,5,1,1,7,1
ET010068,0,5,1,0,1
ET010068,1,34,1,1,1
ET010068,2,31,2,1,1
ET010069,0,4,1,0,1
ET010069,1,74,1,6,1
ET010069,2,69,2,5,1
ET010069,3,34,1,13,1
ET010069,4,29,1,1,1
ET010069,5,30,2,13,1
ET010069,6,25,2,13,1
ET010069,7,16,2,13,1
ET010069,8,17,1,13,1
ET010069,9,23,2,1,1
ET010069,15,15,1,13,1
ET010069,16,16,1,19,1
ET010069,17,15,2,19,1
ET010069,18,16,2,20,1
ET010069,19,1,1,7,1
ET010070,0,5,2,0,1
ET010070,1,29,2,1,1
ET010070,2,12,2,8,1
ET010070,3,10,2,8,1
ET010070,15,8,2,8,1
ET010071,0,5,2,0,1
ET010071,1,64,2,5,2
ET010071,2,54,1,1,1
ET010071,3,49,2,1,1
ET010071,4,34,2,13,2
ET010071,5,32,1,13,2
ET010071,6,23,2,13,2
ET010071,7,22,2,13,2
ET010071,8,15,2,13,2
ET010071,9,14,2,7,1
ET010071,10,9,1,7,1
ET010072,0,5,1,0,1
ET010072,1,29,1,1,1
ET010072,2,24,2,1,2
ET010072,3,45,2,5,1
ET010072,4,55,1,6,1
ET010072,5,28,1,13,1
ET010072,6,25,2,13,1
ET010072,7,20,1,13,1
ET010072,8,17,2,13,1
ET010072,9,8,1,13,1
ET010072,10,6,1,13,1
ET010072,11,5,1,14,1
ET010073,0,4,2,0,1
ET010073,1,74,2,5,1
ET010073,2,28,2,1,1
ET010074,0,5,1,0,1
ET010074,1,62,2,19,2
ET010074,2,34,1,13,2
ET010074,3,32,1,13,2
ET010074,4,29,2,13,2
ET010074,5,26,2,1,2
ET010074,6,22,2,13,2
ET010074,7,11,2,13,2
ET010074,8,37,1,13,1
ET010074,9,35,2,19,1
ET010074,10,19,2,19,1
ET010074,11,20,1,19,1
ET010075,0,5,1,0,1
ET010075,1,34,1,1,3
ET010075,2,22,2,1,1
ET010075,3,15,2,13,1
ET010075,4,85,1,6,2
ET010075,5,18,2,13,1
ET010075,6,3,2,7,1
ET010076,0,4,1,0,1
ET010076,1,37,1,1,1
ET010076,2,35,2,1,1
ET010076,3,33,2,13,1
ET010076,4,32,1,13,1
ET010076,5,27,1,13,1
ET010076,6,25,2,13,1
ET010076,7,21,1,13,1
ET010076,8,17,2,14,1
ET010076,9,14,1,7,1
ET010076,10,10,1,7,1
ET010076,15,7,1,7,1
ET010077,0,5,2,0,1
ET010077,1,29,1,1,1
ET010077,2,25,2,1,1
ET010077,3,20,2,13,2
ET010077,4,12,2,13,2
ET010077,15,6,1,7,1
ET010079,0,5,2,0,1
ET010079,1,51,1,19,2
ET010079,2,44,1,1,1
ET010079,3,27,2,1,2
ET010079,4,26,2,20,2
ET010080,0,4,1,0,1
ET010080,1,49,2,13,2
ET010080,2,34,2,13,3
ET010080,3,29,2,1,1
ET010080,4,24,2,13,2
ET010080,5,19,2,13,2
ET010080,6,17,2,13,2
ET010081,0,5,1,0,1
ET010081,1,44,2,5,3
ET010081,2,30,1,1,1
ET010081,3,28,2,1,1
ET010081,4,26,2,13,1
ET010081,5,15,2,13,1
ET010082,0,5,1,0,1
ET010082,1,43,1,1,1
ET010082,2,28,2,1,1
ET010082,3,9,1,7,1
ET010082,15,7,1,7,1
ET010082,16,3,2,7,1
ET010083,0,5,1,0,1
ET010083,1,43,1,1,1
ET010083,2,40,2,1,1
ET010083,3,24,1,7,1
ET010083,4,21,2,20,2
ET010083,5,17,1,13,3
ET010083,6,10,2,7,1
ET010083,7,15,2,15,1
ET010084,0,5,2,0,1
ET010084,1,42,1,1,1
ET010084,2,40,1,13,1
ET010084,3,32,2,1,1
ET010084,4,20,2,8,1
ET010084,5,17,1,8,1
ET010084,6,14,2,8,1
ET010084,7,12,1,7,1
ET010084,8,10,1,7,1
ET010084,15,8,1,7,1
ET010085,0,4,1,0,1
ET010085,1,37,1,1,1
ET010085,2,29,2,1,1
ET010085,3,10,1,7,1
ET010086,0,5,2,0,1
ET010086,1,33,1,1,1
ET010086,2,24,2,1,1
ET010086,3,0,1,7,1
ET010087,0,5,2,0,1
ET010087,1,44,2,14,2
ET010087,2,27,2,1,1
ET010087,3,30,1,1,1
ET010087,4,18,2,19,1
ET010088,0,4,1,0,1
ET010088,1,55,1,6,1
ET010088,2,45,2,5,1
ET010088,3,28,1,13,1
ET010088,4,25,2,1,1
ET010088,5,21,2,13,2
ET010088,6,20,1,13,1
ET010088,7,17,2,13,1
ET010088,15,8,1,13,1
ET010088,16,6,1,13,1
ET010088,17,29,1,13,1
ET010088,18,5,1,14,1
ET010089,0,5,1,0,1
ET010089,1,49,1,1,1
ET010089,2,32,2,1,1
ET010089,3,16,2,7,1
ET010089,4,15,1,7,1
ET010089,5,12,1,7,1
ET010089,15,8,2,7,1
ET010089,16,2,1,7,1
ET010089,17,1,2,7,1
ET010090,0,4,1,0,1
ET010090,1,49,1,6,1
ET010090,2,70,2,19,1
ET010090,3,47,1,14,2
ET010090,4,45,2,5,1
ET010090,5,26,1,14,2
ET010090,6,25,1,14,1
ET010090,7,24,1,14,2
ET010090,8,23,2,1,1
ET010090,9,21,1,14,1
ET010090,10,19,1,14,1
ET010090,11,10,2,19,1
ET010090,12,18,2,20,1
ET010091,0,5,2,0,1
ET010091,1,34,1,1,1
ET010091,2,30,2,1,1
ET010091,3,24,2,13,1
ET010091,4,22,2,20,2
ET010091,5,22,1,20,2
ET010091,15,8,2,7,1
ET010091,16,2,2,7,1
ET010091,17,15,2,20,1
ET010091,18,20,2,20,1
ET010092,0,4,1,0,1
ET010092,1,52,2,5,1
ET010092,2,41,1,1,1
ET010092,3,33,2,1,1
ET010092,4,18,2,7,1
ET010092,5,16,1,7,1
ET010092,6,13,2,7,1
ET010092,7,25,2,13,1
ET010093,0,5,1,0,1
ET010093,1,46,1,22,1
ET010093,2,44,2,22,1
ET010093,3,24,2,22,1
ET010093,4,24,2,1,1
ET010093,5,20,2,22,1
ET010093,6,16,2,22,1
ET010093,7,13,2,22,1
ET010093,8,10,1,22,1
ET010093,9,40,1,22,2
ET010093,10,25,2,22,1
ET010093,15,7,1,9,1
ET010094,0,5,2,0,1
ET010094,1,50,1,1,1
ET010094,2,42,2,1,1
ET010094,3,20,1,7,1
ET010094,4,18,2,14,1
ET010094,5,14,2,7,1
ET010095,0,5,2,0,1
ET010095,1,39,1,1,1
ET010095,2,30,2,1,1
ET010095,3,19,2,13,1
ET010095,15,6,2,7,1
ET010096,0,5,1,0,1
ET010096,1,42,1,1,1
ET010096,2,32,2,1,1
ET010096,3,15,2,13,1
ET010096,4,9,1,7,1
ET010097,0,5,2,0,1
ET010097,1,45,1,1,1
ET010097,2,39,2,1,1
ET010097,3,13,2,7,2
ET010097,4,11,1,7,1
ET010097,15,6,2,7,1
ET010097,16,19,2,20,1
ET010098,0,4,1,0,1
ET010098,1,31,1,1,1
ET010098,2,28,2,1,1
ET010098,16,1,2,7,1
ET010099,0,4,2,0,1
ET010099,1,33,1,1,1
ET010099,2,31,2,1,2
ET010099,3,18,2,13,2
ET010099,4,27,2,13,1
ET010100,0,5,2,0,1
ET010100,1,64,2,5,1
ET010100,2,31,1,13,1
ET010100,3,29,2,1,1
ET010100,4,27,2,13,1
ET010100,5,9,2,14,1
ET010100,15,7,2,14,1
ET020001,0,4,2,0,1
ET020001,1,71,1,6,3
ET020001,2,55,2,5,1
ET020001,3,38,2,13,2
ET020001,4,37,1,1,2
ET020001,5,37,1,13,2
ET020001,6,33,1,13,1
ET020001,7,27,2,1,1
ET020001,15,8,2,7,1
ET020001,16,14,2,13,1
ET020002,0,5,1,0,1
ET020002,1,56,1,1,1
ET020002,2,39,2,1,1
ET020002,3,27,1,7,2
ET020002,4,16,1,7,1
ET020002,5,15,2,7,1
ET020002,6,13,2,7,1
ET020002,7,9,2,7,1
ET020002,8,2,2,7,1
ET020003,0,5,2,0,1
ET020003,1,46,2,5,1
ET020003,2,27,1,13,2
ET020003,3,23,2,1,1
ET020003,4,19,2,13,1
ET020003,5,17,2,13,2
ET020003,6,15,1,13,1
ET020004,0,5,2,0,1
ET020004,1,34,2,1,1
ET020004,2,17,1,7,1
ET020004,3,12,2,14,1
ET020004,4,42,1,1,1
ET020005,0,4,2,0,1
ET020005,1,30,1,1,1
ET020005,2,25,1,13,1
ET020005,3,23,2,1,1
ET020007,0,5,2,0,1
ET020007,1,49,2,5,1
ET020007,2,31,2,13,1
ET020007,3,30,1,13,2
ET020007,4,28,2,1,1
ET020007,15,6,1,15,1
ET020007,16,15,1,15,1
ET020008,0,4,2,0,1
ET020008,1,46,1,1,1
ET020008,2,33,2,1,1
ET020008,3,16,1,7,1
ET020008,4,12,1,7,1
ET020011,0,5,1,0,1
ET020011,1,84,2,5,1
ET020011,2,49,1,1,1
ET020011,3,28,2,1,1
ET020011,15,8,2,7,1
ET020012,0,5,2,0,1
ET020012,1,62,1,17,1
ET020012,2,54,2,17,1
ET020012,3,26,1,13,2
ET020012,4,21,1,13,1
ET020012,5,19,2,13,2
ET020012,6,17,2,13,1
ET020012,7,16,1,13,1
ET020012,8,0,1,7,1
ET020013,0,5,2,0,1
ET020013,1,57,1,1,1
ET020013,2,48,2,1,1
ET020013,3,30,1,7,1
ET020013,4,26,2,7,1
ET020013,5,24,1,7,1
ET020013,6,22,2,7,1
ET020013,7,17,2,7,1
ET020013,8,13,1,7,1
ET020013,9,12,2,7,1
ET020013,10,5,1,19,1
ET020013,11,7,2,19,1
ET020014,0,5,1,0,1
ET020014,1,37,1,1,1
ET020014,2,31,2,1,1
ET020014,3,19,1,7,2
ET020014,4,16,2,7,2
ET020014,15,7,2,7,1
ET020014,16,1,1,7,1
ET020015,0,5,2,0,1
ET020015,1,29,1,1,2
ET020015,2,31,2,1,1
ET020015,3,4,1,7,1
ET020016,0,5,1,0,1
ET020016,1,30,1,13,3
ET020016,2,26,2,1,2
ET020016,3,12,2,14,2
ET020016,4,9,2,14,1
ET020016,5,24,1,13,1
ET020016,6,16,2,13,1
ET020016,7,56,2,5,1
ET020017,0,5,1,0,1
ET020017,1,36,1,1,1
ET020017,2,24,2,1,1
ET020017,3,0,1,7,1
ET020017,4,11,2,13,1
ET020018,0,5,2,0,1
ET020018,1,45,1,1,1
ET020018,2,37,2,1,1
ET020019,0,4,2,0,1
ET020019,1,64,1,5,1
ET020019,2,50,2,5,1
ET020019,3,31,2,13,1
ET020019,4,29,2,1,1
ET020019,5,27,1,13,1
ET020019,6,25,1,13,1
ET020019,7,23,2,13,1
ET020019,8,21,1,13,1
ET020019,9,12,1,13,1
ET020020,0,4,2,0,1
ET020020,1,55,2,5,1
ET020020,2,37,2,1,1
ET020020,3,21,1,13,1
ET020020,4,12,2,13,1
ET020020,5,34,1,13,1
ET020021,0,5,1,0,1
ET020021,1,27,2,1,1
ET020022,0,5,2,0,1
ET020022,1,35,1,1,1
ET020022,2,31,2,1,1
ET020022,3,2,2,7,1
ET020022,4,0,1,7,1
ET020023,0,4,1,0,1
ET020023,1,66,1,1,1
ET020023,2,39,2,1,1
ET020023,3,19,2,7,1
ET020023,4,18,2,7,1
ET020023,15,5,2,13,2
ET020024,0,5,2,0,1
ET020024,1,64,1,6,1
ET020024,2,54,2,5,1
ET020024,3,39,2,13,1
ET020024,4,17,2,13,2
ET020024,5,41,2,20,1
ET020025,0,5,2,0,1
ET020025,1,64,1,6,1
ET020025,2,60,2,5,1
ET020025,3,34,2,1,2
ET020025,4,32,2,13,1
ET020025,5,28,2,13,1
ET020025,6,26,2,13,1
ET020025,7,22,2,13,1
ET020025,8,14,2,13,1
ET020025,9,40,1,13,1
ET020026,0,5,2,0,1
ET020026,1,69,1,5,1
ET020026,2,59,2,5,1
ET020026,3,37,1,13,2
ET020026,4,36,1,13,1
ET020026,5,27,1,13,1
ET020026,6,25,1,13,1
ET020026,7,20,1,13,1
ET020027,0,5,2,0,1
ET020027,1,82,1,17,1
ET020027,2,54,1,6,1
ET020027,3,26,2,1,1
ET020027,4,38,2,5,1
ET020028,0,5,1,0,1
ET020028,1,74,2,17,1
ET020028,2,28,1,13,2
ET020028,3,21,2,13,2
ET020028,4,14,2,13,2
ET020028,5,27,2,13,1
ET020028,6,33,2,13,1
ET020029,0,5,1,0,1
ET020029,1,39,1,1,1
ET020029,2,26,2,13,1
ET020029,3,18,2,13,2
ET020029,4,13,2,13,1
ET020030,0,5,1,0,1
ET020030,1,49,1,1,1
ET020030,2,39,2,1,1
ET020030,3,19,2,7,1
ET020030,4,16,2,7,1
ET020030,5,13,2,7,1
ET020030,6,12,2,7,1
ET020030,15,8,2,7,1
ET020030,16,1,2,7,1
ET020031,0,5,1,0,1
ET020031,1,67,1,6,1
ET020031,2,64,2,5,1
ET020031,3,42,1,13,3
ET020031,4,35,1,13,2
ET020031,5,34,2,13,2
ET020031,6,24,2,1,1
ET020032,0,4,2,0,1
ET020032,1,40,1,1,1
ET020032,2,26,2,1,1
ET020032,15,8,2,7,1
ET020033,0,4,1,0,1
ET020033,1,34,1,1,1
ET020033,2,23,2,1,1
ET020034,0,5,1,0,1
ET020034,1,39,1,1,1
ET020034,2,34,2,1,1
ET020035,0,4,1,0,1
ET020035,1,61,1,1,1
ET020035,2,46,2,1,1
ET020035,3,26,2,13,2
ET020035,4,14,2,7,1
ET020035,5,11,1,7,1
ET020035,15,8,2,7,1
ET020036,0,4,1,0,1
ET020036,1,32,1,1,1
ET020036,2,29,2,1,1
ET020037,0,4,2,0,1
ET020037,1,54,2,5,1
ET020037,2,24,1,1,1
ET020037,3,17,1,13,1
ET020037,4,16,1,14,1
ET020037,5,21,2,14,2
ET020037,6,9,2,14,1
ET020038,0,5,2,0,1
ET020038,1,51,2,5,2
ET020038,2,29,2,13,2
ET020038,3,24,2,1,1
ET020038,4,18,2,13,1
ET020038,5,12,1,13,2
ET020038,6,8,2,14,2
ET020038,7,2,2,15,1
ET020039,0,5,2,0,1
ET020039,1,71,1,5,1
ET020039,2,58,2,5,1
ET020039,3,31,2,1,1
ET020039,4,29,2,13,1
ET020039,5,27,1,13,1
ET020039,6,17,2,13,1
ET020039,7,13,1,13,1
ET020039,8,12,1,13,1
ET020040,0,5,1,0,1
ET020040,1,54,2,5,2
ET020040,2,40,2,1,2
ET020040,3,14,1,7,2
ET020040,4,11,1,7,2
ET020040,5,70,2,13,1
ET020041,0,5,1,0,1
ET020041,1,34,1,1,1
ET020041,2,30,2,1,1
ET020041,3,28,2,13,1
ET020041,4,14,2,13,2
ET020041,5,0,2,7,1
ET020041,6,15,1,13,1
ET020042,0,5,1,0,1
ET020042,1,36,1,1,1
ET020042,2,31,2,1,1
ET020042,3,15,2,13,2
ET020042,4,14,1,7,1
ET020042,5,11,1,7,1
ET020042,6,1,2,7,1
ET020043,0,5,1,0,1
